SnakeID,Muscle,Stimulus(mA),Pulse_Width(us),Max_Force(g)
CRF3061,M1,10,50,0.084835656,
CRF3061,M1,20,50,0.072494948,
CRF3061,M1,30,50,0.079473457,
CRF3061,M1,40,50,0.090619606,
CRF3061,M1,50,50,0.115274931,
CRF3061,M1,60,50,0.2974609,
CRF3061,M1,70,50,0.475611027,
CRF3061,M1,80,50,0.651220192,
CRF3061,M1,90,50,0.67500982,
CRF3061,M1,100,50,0.666569672,
CRF3061,M1,200,50,0.638945475,
CRF3061,M1,300,50,0.809814238,
CRF3061,M1,400,50,0.84601493,
CRF3061,M1,500,50,0.853920765,
CRF3061,M1,600,50,0.887255577,
CRF3061,M1,10,100,0.080147581,
CRF3061,M1,20,100,0.081064369,
CRF3061,M1,30,100,0.079624651,
CRF3061,M1,40,100,0.086835569,
CRF3061,M1,50,100,0.116693858,
CRF3061,M1,60,100,0.322538495,
CRF3061,M1,70,100,0.542315662,
CRF3061,M1,80,100,0.648455006,
CRF3061,M1,90,100,0.679714919,
CRF3061,M1,100,100,0.674181551,
CRF3061,M1,200,100,0.696008218,
CRF3061,M1,300,100,0.812300596,
CRF3061,M1,400,100,0.868735702,
CRF3061,M1,500,100,0.891655491,
CRF3061,M1,600,100,0.889609818,
CRF3061,M1,10,200,0.077504435,
CRF3061,M1,20,200,0.076519551,
CRF3061,M1,30,200,0.076181188,
CRF3061,M1,40,200,0.079826499,
CRF3061,M1,50,200,0.115349438,
CRF3061,M1,60,200,0.299782136,
CRF3061,M1,70,200,0.470111799,
CRF3061,M1,80,200,0.617251123,
CRF3061,M1,90,200,0.687796023,
CRF3061,M1,100,200,0.679252193,
CRF3061,M1,200,200,0.747076719,
CRF3061,M1,300,200,0.812261591,
CRF3061,M1,400,200,0.844812145,
CRF3061,M1,500,200,0.859297804,
CRF3061,M1,600,200,0.895461514,
CRF3061,M1,10,500,0.077036537,
CRF3061,M1,20,500,0.073211315,
CRF3061,M1,30,500,0.079620723,
CRF3061,M1,40,500,0.097998638,
CRF3061,M1,50,500,0.111371103,
CRF3061,M1,60,500,0.308300722,
CRF3061,M1,70,500,0.537816915,
CRF3061,M1,80,500,0.599623842,
CRF3061,M1,90,500,0.680522656,
CRF3061,M1,100,500,0.677967184,
CRF3061,M1,200,500,0.706571565,
CRF3061,M1,300,500,0.819906477,
CRF3061,M1,400,500,0.849789427,
CRF3061,M1,500,500,0.871130257,
CRF3061,M1,600,500,0.880719022,
CRF3061,M1,10,1000,0.078189475,
CRF3061,M1,20,1000,0.087654629,
CRF3061,M1,30,1000,0.071826784,
CRF3061,M1,40,1000,0.085912455,
CRF3061,M1,50,1000,0.11309573,
CRF3061,M1,60,1000,0.323061277,
CRF3061,M1,70,1000,0.536103631,
CRF3061,M1,80,1000,0.597800499,
CRF3061,M1,90,1000,0.664780543,
CRF3061,M1,100,1000,0.693451633,
CRF3061,M1,200,1000,0.709551077,
CRF3061,M1,300,1000,0.807699886,
CRF3061,M1,400,1000,0.842615461,
CRF3061,M1,500,1000,0.86918092,
CRF3061,M1,600,1000,0.868903935,
CRF3061,M1,10,10000,0.082435542,
CRF3061,M1,20,10000,0.085381992,
CRF3061,M1,30,10000,0.077348127,
CRF3061,M1,40,10000,0.08043455,
CRF3061,M1,50,10000,0.114358186,
CRF3061,M1,60,10000,0.325579177,
CRF3061,M1,70,10000,0.552276888,
CRF3061,M1,80,10000,0.622170297,
CRF3061,M1,90,10000,0.632675561,
CRF3061,M1,100,10000,0.668199246,
CRF3061,M1,200,10000,0.660396968,
CRF3061,M1,300,10000,0.804101663,
CRF3061,M1,400,10000,0.854543927,
CRF3061,M1,500,10000,0.872386615,
CRF3061,M1,600,10000,0.869317672,
CRF3061,M1,10,50000,0.077735911,
CRF3061,M1,20,50000,0.07897368,
CRF3061,M1,30,50000,0.081944325,
CRF3061,M1,40,50000,0.246768092,
CRF3061,M1,50,50000,0.486920193,
CRF3061,M1,60,50000,1.085184778,
CRF3061,M1,70,50000,2.05022465,
CRF3061,M1,80,50000,2.292292096,
CRF3061,M1,90,50000,2.505367737,
CRF3061,M1,100,50000,2.522653629,
CRF3061,M1,200,50000,2.702398622,
CRF3061,M1,300,50000,3.068290789,
CRF3061,M1,400,50000,3.348995897,
CRF3061,M1,500,50000,3.493652699,
CRF3061,M1,600,50000,3.676739144,
