SnakeID,Muscle,Stimulus(mA),Pulse_Width(us),Max_Force(g)
EJE182,M1,10,50,0.065872943,
EJE182,M1,20,50,0.080425693,
EJE182,M1,30,50,1.186317318,
EJE182,M1,40,50,1.332391726,
EJE182,M1,50,50,1.689589954,
EJE182,M1,60,50,1.726743351,
EJE182,M1,70,50,1.847169884,
EJE182,M1,80,50,1.910623493,
EJE182,M1,90,50,1.928486615,
EJE182,M1,100,50,1.949382891,
EJE182,M1,200,50,1.973527737,
EJE182,M1,300,50,2.066609886,
EJE182,M1,400,50,2.160654473,
EJE182,M1,500,50,2.207458587,
EJE182,M1,600,50,2.248393874,
EJE182,M1,10,100,0.063167035,
EJE182,M1,20,100,0.101299173,
EJE182,M1,30,100,1.26988106,
EJE182,M1,40,100,1.480367724,
EJE182,M1,50,100,1.819636586,
EJE182,M1,60,100,1.804947553,
EJE182,M1,70,100,1.955719979,
EJE182,M1,80,100,2.030698322,
EJE182,M1,90,100,2.062846536,
EJE182,M1,100,100,2.088506042,
EJE182,M1,200,100,2.102285115,
EJE182,M1,300,100,2.202783622,
EJE182,M1,400,100,2.21265903,
EJE182,M1,500,100,2.282386807,
EJE182,M1,600,100,2.308445151,
EJE182,M1,10,200,0.063156743,
EJE182,M1,20,200,0.083653174,
EJE182,M1,30,200,1.266227705,
EJE182,M1,40,200,1.472115883,
EJE182,M1,50,200,1.760125755,
EJE182,M1,60,200,1.788955027,
EJE182,M1,70,200,1.922539832,
EJE182,M1,80,200,2.012662589,
EJE182,M1,90,200,2.083990268,
EJE182,M1,100,200,2.110673656,
EJE182,M1,200,200,2.134611151,
EJE182,M1,300,200,2.226958169,
EJE182,M1,400,200,2.310550077,
EJE182,M1,500,200,2.367090153,
EJE182,M1,600,200,2.348670604,
EJE182,M1,10,500,0.06269278,
EJE182,M1,20,500,0.111212506,
EJE182,M1,30,500,1.335824141,
EJE182,M1,40,500,1.577620889,
EJE182,M1,50,500,1.8218456,
EJE182,M1,60,500,1.861497392,
EJE182,M1,70,500,2.083343455,
EJE182,M1,80,500,2.142937887,
EJE182,M1,90,500,2.17942738,
EJE182,M1,100,500,2.199417009,
EJE182,M1,200,500,2.252308103,
EJE182,M1,300,500,2.319984769,
EJE182,M1,400,500,2.392242506,
EJE182,M1,500,500,2.443956684,
EJE182,M1,600,500,2.446878506,
EJE182,M1,10,1000,0.068786088,
EJE182,M1,20,1000,0.426367586,
EJE182,M1,30,1000,1.407668043,
EJE182,M1,40,1000,1.660672589,
EJE182,M1,50,1000,1.865555633,
EJE182,M1,60,1000,1.921181436,
EJE182,M1,70,1000,2.053902705,
EJE182,M1,80,1000,2.185172199,
EJE182,M1,90,1000,2.238383157,
EJE182,M1,100,1000,2.260652299,
EJE182,M1,200,1000,2.263253748,
EJE182,M1,300,1000,2.359693779,
EJE182,M1,400,1000,2.440889382,
EJE182,M1,500,1000,2.486085678,
EJE182,M1,600,1000,2.511267718,
EJE182,M1,10,10000,0.061548828,
EJE182,M1,20,10000,0.07720765,
EJE182,M1,30,10000,1.451062293,
EJE182,M1,40,10000,1.772227925,
EJE182,M1,50,10000,1.843506906,
EJE182,M1,60,10000,2.003540303,
EJE182,M1,70,10000,2.1346578,
EJE182,M1,80,10000,2.279475603,
EJE182,M1,90,10000,2.339448876,
EJE182,M1,100,10000,2.363888613,
EJE182,M1,200,10000,2.380700513,
EJE182,M1,300,10000,2.467392453,
EJE182,M1,400,10000,2.538276557,
EJE182,M1,500,10000,2.576477388,
EJE182,M1,600,10000,2.608034172,
EJE182,M1,10,50000,0.061012367,
EJE182,M1,20,50000,0.260478607,
EJE182,M1,30,50000,3.631534804,
EJE182,M1,40,50000,4.471681068,
EJE182,M1,50,50000,4.707279195,
EJE182,M1,60,50000,5.163566179,
EJE182,M1,70,50000,5.600324184,
EJE182,M1,80,50000,5.773631572,
EJE182,M1,90,50000,6.088316253,
EJE182,M1,100,50000,6.166756113,
EJE182,M1,200,50000,6.318497735,
EJE182,M1,300,50000,6.382154964,
EJE182,M1,400,50000,6.51679788,
EJE182,M1,500,50000,6.590253001,
EJE182,M1,600,50000,6.638224601,
