SnakeID,Muscle,Stimulus(mA),Pulse_Width(us),Max_Force(g)
CRF3066,M1,10,50,0.04743652,
CRF3066,M1,20,50,0.212449763,
CRF3066,M1,30,50,0.309593503,
CRF3066,M1,40,50,0.454878253,
CRF3066,M1,50,50,0.415587159,
CRF3066,M1,60,50,0.446643074,
CRF3066,M1,70,50,0.425950237,
CRF3066,M1,80,50,0.452303764,
CRF3066,M1,90,50,0.451365663,
CRF3066,M1,100,50,0.465765331,
CRF3066,M1,200,50,0.469660508,
CRF3066,M1,300,50,0.493304666,
CRF3066,M1,400,50,0.497620158,
CRF3066,M1,500,50,0.552363854,
CRF3066,M1,600,50,0.52311481,
CRF3066,M1,10,1000,0.037471934,
CRF3066,M1,20,1000,0.142689348,
CRF3066,M1,30,1000,0.451281665,
CRF3066,M1,40,1000,0.386002132,
CRF3066,M1,50,1000,0.474864034,
CRF3066,M1,60,1000,0.449999376,
CRF3066,M1,70,1000,0.480670679,
CRF3066,M1,80,1000,0.478542919,
CRF3066,M1,90,1000,0.500497943,
CRF3066,M1,100,1000,0.504256117,
CRF3066,M1,200,1000,0.511866774,
CRF3066,M1,300,1000,0.510644723,
CRF3066,M1,400,1000,0.545083231,
CRF3066,M1,500,1000,0.56423169,
CRF3066,M1,600,1000,0.559823183,
CRF3066,M1,10,10000,0.045115718,
CRF3066,M1,20,10000,0.156267168,
CRF3066,M1,30,10000,1.784713471,
CRF3066,M1,40,10000,1.099461852,
CRF3066,M1,50,10000,1.238994601,
CRF3066,M1,60,10000,2.306185591,
CRF3066,M1,70,10000,1.31659248,
CRF3066,M1,80,10000,1.367247311,
CRF3066,M1,90,10000,2.480921557,
CRF3066,M1,100,10000,2.459455799,
CRF3066,M1,200,10000,1.395375498,
CRF3066,M1,300,10000,1.416155661,
CRF3066,M1,400,10000,1.458745035,
CRF3066,M1,500,10000,1.472171266,
CRF3066,M1,600,10000,2.653799788,
CRF3066,M1,10,50000,0.062206245,
CRF3066,M1,20,50000,2.076897799,
CRF3066,M1,30,50000,4.439278082,
CRF3066,M1,40,50000,5.164512397,
CRF3066,M1,50,50000,5.058225998,
CRF3066,M1,60,50000,4.862874102,
CRF3066,M1,70,50000,4.752848946,
CRF3066,M1,80,50000,4.654709689,
CRF3066,M1,90,50000,4.575379458,
CRF3066,M1,100,50000,4.517860631,
CRF3066,M1,200,50000,4.486265402,
CRF3066,M1,300,50000,4.450399586,
CRF3066,M1,400,50000,4.423815565,
CRF3066,M1,500,50000,4.419454516,
CRF3066,M1,600,50000,4.380451315,
