SnakeID,Muscle,Stimulus(mA),Pulse_Width(us),Max_Force(g)
CRF3070,M1,10,50,0.064762895,
CRF3070,M1,20,50,0.061444207,
CRF3070,M1,30,50,0.059635772,
CRF3070,M1,40,50,0.129395633,
CRF3070,M1,50,50,0.44997212,
CRF3070,M1,60,50,0.688553792,
CRF3070,M1,70,50,1.245755702,
CRF3070,M1,80,50,1.700857318,
CRF3070,M1,90,50,2.040493459,
CRF3070,M1,100,50,2.189438998,
CRF3070,M1,200,50,2.491504754,
CRF3070,M1,300,50,2.877667173,
CRF3070,M1,400,50,3.045146234,
CRF3070,M1,500,50,3.112749695,
CRF3070,M1,600,50,3.14475276,
CRF3070,M1,10,100,0.065004639,
CRF3070,M1,20,100,0.058625949,
CRF3070,M1,30,100,0.059761131,
CRF3070,M1,40,100,0.190548606,
CRF3070,M1,50,100,0.471547341,
CRF3070,M1,60,100,0.723962357,
CRF3070,M1,70,100,0.989556421,
CRF3070,M1,80,100,1.851408988,
CRF3070,M1,90,100,2.179116876,
CRF3070,M1,100,100,2.316894134,
CRF3070,M1,200,100,2.648068965,
CRF3070,M1,300,100,3.052208916,
CRF3070,M1,400,100,3.161540863,
CRF3070,M1,500,100,3.255928054,
CRF3070,M1,600,100,3.281340373,
CRF3070,M1,10,200,0.06321718,
CRF3070,M1,20,200,0.058207713,
CRF3070,M1,30,200,0.062290397,
CRF3070,M1,40,200,0.289061268,
CRF3070,M1,50,200,0.477055155,
CRF3070,M1,60,200,0.708122944,
CRF3070,M1,70,200,1.052625494,
CRF3070,M1,80,200,2.113417522,
CRF3070,M1,90,200,2.272973346,
CRF3070,M1,100,200,2.350162166,
CRF3070,M1,200,200,2.764234782,
CRF3070,M1,300,200,3.046120787,
CRF3070,M1,400,200,3.236439962,
CRF3070,M1,500,200,3.310621224,
CRF3070,M1,600,200,3.341062184,
CRF3070,M1,10,500,0.065120818,
CRF3070,M1,20,500,0.065192242,
CRF3070,M1,30,500,0.062228041,
CRF3070,M1,40,500,0.128594186,
CRF3070,M1,50,500,0.477731769,
CRF3070,M1,60,500,0.695039284,
CRF3070,M1,70,500,1.143872957,
CRF3070,M1,80,500,2.029587858,
CRF3070,M1,90,500,2.334690652,
CRF3070,M1,100,500,2.445798733,
CRF3070,M1,200,500,2.508620436,
CRF3070,M1,300,500,3.142262713,
CRF3070,M1,400,500,3.335640898,
CRF3070,M1,500,500,3.384449985,
CRF3070,M1,600,500,3.431372554,
CRF3070,M1,10,1000,0.065186618,
CRF3070,M1,20,1000,0.063983814,
CRF3070,M1,30,1000,0.061543921,
CRF3070,M1,40,1000,0.089247882,
CRF3070,M1,50,1000,0.485036703,
CRF3070,M1,60,1000,0.719617207,
CRF3070,M1,70,1000,1.14049761,
CRF3070,M1,80,1000,1.974752349,
CRF3070,M1,90,1000,2.345708241,
CRF3070,M1,100,1000,2.447567374,
CRF3070,M1,200,1000,2.43638139,
CRF3070,M1,300,1000,3.220960369,
CRF3070,M1,400,1000,3.384241397,
CRF3070,M1,500,1000,3.453429303,
CRF3070,M1,600,1000,3.492017658,
CRF3070,M1,10,10000,0.059979108,
CRF3070,M1,20,10000,0.061491388,
CRF3070,M1,30,10000,0.061283786,
CRF3070,M1,40,10000,0.270010194,
CRF3070,M1,50,10000,0.431361277,
CRF3070,M1,60,10000,0.737755414,
CRF3070,M1,70,10000,1.477146029,
CRF3070,M1,80,10000,2.117370545,
CRF3070,M1,90,10000,2.336784087,
CRF3070,M1,100,10000,2.466397188,
CRF3070,M1,200,10000,1.473085151,
CRF3070,M1,300,10000,3.18965017,
CRF3070,M1,400,10000,3.404219477,
CRF3070,M1,500,10000,3.45800412,
CRF3070,M1,600,10000,3.486395605,
CRF3070,M1,10,50000,0.073259206,
CRF3070,M1,20,50000,0.062534571,
CRF3070,M1,30,50000,0.080380916,
CRF3070,M1,40,50000,0.204222989,
CRF3070,M1,50,50000,1.739986459,
CRF3070,M1,60,50000,2.658260002,
CRF3070,M1,70,50000,4.319421394,
CRF3070,M1,80,50000,4.889944299,
CRF3070,M1,90,50000,6.519034994,
CRF3070,M1,100,50000,7.181517167,
CRF3070,M1,200,50000,7.64290739,
CRF3070,M1,300,50000,8.388790459,
CRF3070,M1,400,50000,8.591077811,
CRF3070,M1,500,50000,8.666351019,
CRF3070,M1,600,50000,8.685119298,
