SnakeID,Muscle,Stimulus(mA),Pulse_Width(us),Max_Force(g)
CRF3069,M3,10,50,0.082134489,
CRF3069,M3,20,50,0.108750261,
CRF3069,M3,30,50,0.316017746,
CRF3069,M3,40,50,0.68522938,
CRF3069,M3,50,50,0.733387062,
CRF3069,M3,60,50,0.737441602,
CRF3069,M3,70,50,0.724596537,
CRF3069,M3,80,50,0.75938859,
CRF3069,M3,90,50,0.767950304,
CRF3069,M3,100,50,0.793154027,
CRF3069,M3,200,50,0.731739799,
CRF3069,M3,300,50,0.826844397,
CRF3069,M3,400,50,0.957775608,
CRF3069,M3,500,50,1.017346787,
CRF3069,M3,600,50,1.041502525,
CRF3069,M3,10,100,0.139010154,
CRF3069,M3,20,100,0.128932001,
CRF3069,M3,30,100,0.622605701,
CRF3069,M3,40,100,0.965890341,
CRF3069,M3,50,100,1.001618082,
CRF3069,M3,60,100,1.010924979,
CRF3069,M3,70,100,1.05510377,
CRF3069,M3,80,100,1.097561495,
CRF3069,M3,90,100,1.086368224,
CRF3069,M3,100,100,1.109371164,
CRF3069,M3,200,100,1.077865702,
CRF3069,M3,300,100,1.174113109,
CRF3069,M3,400,100,1.290238885,
CRF3069,M3,500,100,1.36767701,
CRF3069,M3,600,100,1.32048568,
CRF3069,M3,10,200,0.095184247,
CRF3069,M3,20,200,0.1294653,
CRF3069,M3,30,200,0.664552801,
CRF3069,M3,40,200,0.96343805,
CRF3069,M3,50,200,1.01357223,
CRF3069,M3,60,200,1.06495048,
CRF3069,M3,70,200,1.119830501,
CRF3069,M3,80,200,1.114156074,
CRF3069,M3,90,200,1.114542301,
CRF3069,M3,100,200,1.172501428,
CRF3069,M3,200,200,1.13901789,
CRF3069,M3,300,200,1.274914893,
CRF3069,M3,400,200,1.300155903,
CRF3069,M3,500,200,1.385090661,
CRF3069,M3,600,200,1.382582033,
CRF3069,M3,10,500,0.097990964,
CRF3069,M3,20,500,0.07917149,
CRF3069,M3,30,500,0.399053583,
CRF3069,M3,40,500,0.721326862,
CRF3069,M3,50,500,0.712165216,
CRF3069,M3,60,500,0.7455933,
CRF3069,M3,70,500,0.769756558,
CRF3069,M3,80,500,0.797931204,
CRF3069,M3,90,500,0.800455395,
CRF3069,M3,100,500,0.801961562,
CRF3069,M3,200,500,0.828672513,
CRF3069,M3,300,500,0.873146361,
CRF3069,M3,400,500,0.978170088,
CRF3069,M3,500,500,1.025043558,
CRF3069,M3,600,500,1.040793654,
CRF3069,M3,10,1000,0.113151612,
CRF3069,M3,20,1000,0.13085084,
CRF3069,M3,30,1000,0.436162267,
CRF3069,M3,40,1000,0.723725887,
CRF3069,M3,50,1000,0.801595795,
CRF3069,M3,60,1000,0.826447085,
CRF3069,M3,70,1000,0.823221015,
CRF3069,M3,80,1000,0.851103271,
CRF3069,M3,90,1000,0.85445379,
CRF3069,M3,100,1000,0.878820332,
CRF3069,M3,200,1000,0.893975845,
CRF3069,M3,300,1000,0.992896473,
CRF3069,M3,400,1000,1.054475668,
CRF3069,M3,500,1000,1.121089769,
CRF3069,M3,600,1000,1.108104369,
CRF3069,M3,10,10000,0.101312685,
CRF3069,M3,20,10000,0.148547898,
CRF3069,M3,30,10000,0.510072859,
CRF3069,M3,40,10000,0.772083544,
CRF3069,M3,50,10000,0.813951148,
CRF3069,M3,60,10000,0.839088219,
CRF3069,M3,70,10000,0.924757055,
CRF3069,M3,80,10000,0.884088457,
CRF3069,M3,90,10000,0.919335083,
CRF3069,M3,100,10000,0.915663068,
CRF3069,M3,200,10000,0.912964142,
CRF3069,M3,300,10000,0.979111095,
CRF3069,M3,400,10000,1.198164532,
CRF3069,M3,500,10000,1.100310242,
CRF3069,M3,600,10000,1.191813787,
CRF3069,M3,10,50000,0.123612563,
CRF3069,M3,20,50000,0.082789511,
CRF3069,M3,30,50000,2.254625215,
CRF3069,M3,40,50000,3.296212352,
CRF3069,M3,50,50000,3.716337472,
CRF3069,M3,60,50000,3.681685562,
CRF3069,M3,70,50000,3.750399677,
CRF3069,M3,80,50000,3.736865656,
CRF3069,M3,90,50000,3.765058461,
CRF3069,M3,100,50000,3.789226855,
CRF3069,M3,200,50000,3.758674693,
CRF3069,M3,300,50000,3.829303248,
CRF3069,M3,400,50000,3.909249533,
CRF3069,M3,500,50000,3.922044573,
CRF3069,M3,600,50000,3.977979796,
