SnakeID,Muscle,Stimulus(mA),Pulse_Width(us),Max_Force(g)
CRF2630,M1,10,50,0.043726239,
CRF2630,M1,20,50,0.039649992,
CRF2630,M1,30,50,0.039760833,
CRF2630,M1,40,50,0.035047206,
CRF2630,M1,50,50,0.376169138,
CRF2630,M1,60,50,0.248281126,
CRF2630,M1,70,50,0.803617233,
CRF2630,M1,80,50,1.343294733,
CRF2630,M1,90,50,1.206937822,
CRF2630,M1,100,50,1.710880727,
CRF2630,M1,200,50,1.994253023,
CRF2630,M1,300,50,2.436596952,
CRF2630,M1,400,50,2.425934176,
CRF2630,M1,500,50,2.454727781,
CRF2630,M1,600,50,2.458372205,
CRF2630,M1,10,100,0.042930206,
CRF2630,M1,20,100,0.044502815,
CRF2630,M1,30,100,0.035463025,
CRF2630,M1,40,100,0.157463923,
CRF2630,M1,50,100,0.138154585,
CRF2630,M1,60,100,0.651674487,
CRF2630,M1,70,100,0.948067244,
CRF2630,M1,80,100,1.109487064,
CRF2630,M1,90,100,1.763692002,
CRF2630,M1,100,100,1.833157492,
CRF2630,M1,200,100,2.197713001,
CRF2630,M1,300,100,2.519050676,
CRF2630,M1,400,100,2.551212852,
CRF2630,M1,500,100,2.576646236,
CRF2630,M1,600,100,2.59882989,
CRF2630,M1,10,200,0.042136599,
CRF2630,M1,20,200,0.039885817,
CRF2630,M1,30,200,0.046398944,
CRF2630,M1,40,200,0.03997776,
CRF2630,M1,50,200,0.402705174,
CRF2630,M1,60,200,0.509640103,
CRF2630,M1,70,200,0.974776154,
CRF2630,M1,80,200,1.482896952,
CRF2630,M1,90,200,1.304139403,
CRF2630,M1,100,200,1.913368494,
CRF2630,M1,200,200,2.652850703,
CRF2630,M1,300,200,2.729574266,
CRF2630,M1,400,200,2.741100407,
CRF2630,M1,500,200,2.7664781,
CRF2630,M1,600,200,2.797108007,
CRF2630,M1,10,500,0.036682738,
CRF2630,M1,20,500,0.036959011,
CRF2630,M1,30,500,0.038832126,
CRF2630,M1,40,500,0.157727224,
CRF2630,M1,50,500,0.124738987,
CRF2630,M1,60,500,0.601644765,
CRF2630,M1,70,500,0.758987501,
CRF2630,M1,80,500,1.18877351,
CRF2630,M1,90,500,1.895957502,
CRF2630,M1,100,500,1.655968583,
CRF2630,M1,200,500,2.481675582,
CRF2630,M1,300,500,2.763913489,
CRF2630,M1,400,500,2.787772388,
CRF2630,M1,500,500,2.79567572,
CRF2630,M1,600,500,2.830277504,
CRF2630,M1,10,1000,0.036112464,
CRF2630,M1,20,1000,0.039044506,
CRF2630,M1,30,1000,0.04114357,
CRF2630,M1,40,1000,0.034800962,
CRF2630,M1,50,1000,0.315155415,
CRF2630,M1,60,1000,0.202596843,
CRF2630,M1,70,1000,0.975424802,
CRF2630,M1,80,1000,1.500145869,
CRF2630,M1,90,1000,1.385311481,
CRF2630,M1,100,1000,1.971050248,
CRF2630,M1,200,1000,2.739078026,
CRF2630,M1,300,1000,2.843164364,
CRF2630,M1,400,1000,2.861345969,
CRF2630,M1,500,1000,2.88886217,
CRF2630,M1,600,1000,2.937349281,
CRF2630,M1,10,10000,0.041844233,
CRF2630,M1,20,10000,0.041931661,
CRF2630,M1,30,10000,0.038270937,
CRF2630,M1,40,10000,0.153620138,
CRF2630,M1,50,10000,1.183762131,
CRF2630,M1,60,10000,1.108947163,
CRF2630,M1,70,10000,1.901826034,
CRF2630,M1,80,10000,4.596307295,
CRF2630,M1,90,10000,3.796491958,
CRF2630,M1,100,10000,4.057214612,
CRF2630,M1,200,10000,6.751484925,
CRF2630,M1,300,10000,5.500486675,
CRF2630,M1,400,10000,5.639636246,
CRF2630,M1,500,10000,5.742059451,
CRF2630,M1,600,10000,5.76867436,
CRF2630,M1,10,50000,0.045512206,
CRF2630,M1,20,50000,0.035308256,
CRF2630,M1,30,50000,0.060154939,
CRF2630,M1,40,50000,1.435881898,
CRF2630,M1,50,50000,4.034810123,
CRF2630,M1,60,50000,5.882508437,
CRF2630,M1,70,50000,6.969117839,
CRF2630,M1,80,50000,7.554935464,
CRF2630,M1,90,50000,7.877117475,
CRF2630,M1,100,50000,7.644190785,
CRF2630,M1,200,50000,8.177745327,
CRF2630,M1,300,50000,7.883876287,
CRF2630,M1,400,50000,7.591634516,
CRF2630,M1,500,50000,7.252148108,
CRF2630,M1,600,50000,6.980681129,
