SnakeID,Muscle,Stimulus(mA),Pulse_Width(us),Max_Force(g)
CRF3065,M1,10,50,0.07189684,
CRF3065,M1,20,50,0.140182604,
CRF3065,M1,30,50,1.264188694,
CRF3065,M1,40,50,1.265199901,
CRF3065,M1,50,50,1.620888896,
CRF3065,M1,60,50,1.514482102,
CRF3065,M1,70,50,1.705036801,
CRF3065,M1,80,50,1.762286627,
CRF3065,M1,90,50,1.820177582,
CRF3065,M1,100,50,1.841126804,
CRF3065,M1,200,50,1.923073873,
CRF3065,M1,300,50,2.014622588,
CRF3065,M1,400,50,2.108587328,
CRF3065,M1,500,50,2.123076624,
CRF3065,M1,600,50,2.231563274,
CRF3065,M1,10,100,0.034533698,
CRF3065,M1,20,100,0.070579557,
CRF3065,M1,30,100,0.214825964,
CRF3065,M1,40,100,0.245187706,
CRF3065,M1,50,100,0.374616117,
CRF3065,M1,60,100,0.356209763,
CRF3065,M1,70,100,0.464460377,
CRF3065,M1,80,100,0.468478855,
CRF3065,M1,90,100,0.475884025,
CRF3065,M1,100,100,0.488315808,
CRF3065,M1,200,100,0.469912114,
CRF3065,M1,300,100,0.468542147,
CRF3065,M1,400,100,0.51896283,
CRF3065,M1,500,100,0.566596264,
CRF3065,M1,600,100,0.587219775,
CRF3065,M1,10,200,0.037717175,
CRF3065,M1,20,200,0.19084818,
CRF3065,M1,30,200,0.151722282,
CRF3065,M1,40,200,0.28427393,
CRF3065,M1,50,200,0.344864991,
CRF3065,M1,60,200,0.44276477,
CRF3065,M1,70,200,0.442978539,
CRF3065,M1,80,200,0.479001628,
CRF3065,M1,90,200,0.521474244,
CRF3065,M1,100,200,0.481823194,
CRF3065,M1,200,200,0.524336954,
CRF3065,M1,300,200,0.536130948,
CRF3065,M1,400,200,0.558849441,
CRF3065,M1,500,200,0.579689281,
CRF3065,M1,600,200,0.601849145,
CRF3065,M1,10,500,0.043183286,
CRF3065,M1,20,500,0.056057712,
CRF3065,M1,30,500,0.18083939,
CRF3065,M1,40,500,0.186333568,
CRF3065,M1,50,500,0.244493904,
CRF3065,M1,60,500,0.285613424,
CRF3065,M1,70,500,0.360289166,
CRF3065,M1,80,500,0.375915039,
CRF3065,M1,90,500,0.385003524,
CRF3065,M1,100,500,0.385055147,
CRF3065,M1,200,500,0.41480386,
CRF3065,M1,300,500,0.451740215,
CRF3065,M1,400,500,0.474737111,
CRF3065,M1,500,500,0.478199515,
CRF3065,M1,600,500,0.539707224,
CRF3065,M1,10,1000,0.040799271,
CRF3065,M1,20,1000,0.160150269,
CRF3065,M1,30,1000,0.127413815,
CRF3065,M1,40,1000,0.226364609,
CRF3065,M1,50,1000,0.28639028,
CRF3065,M1,60,1000,0.343289608,
CRF3065,M1,70,1000,0.358905899,
CRF3065,M1,80,1000,0.409817984,
CRF3065,M1,90,1000,0.416376906,
CRF3065,M1,100,1000,0.430369998,
CRF3065,M1,200,1000,0.431967105,
CRF3065,M1,300,1000,0.440524765,
CRF3065,M1,400,1000,0.476811098,
CRF3065,M1,500,1000,0.512821345,
CRF3065,M1,600,1000,0.529456395,
CRF3065,M1,10,10000,0.042610293,
CRF3065,M1,20,10000,0.27704178,
CRF3065,M1,30,10000,0.725126563,
CRF3065,M1,40,10000,1.268586013,
CRF3065,M1,50,10000,0.956067436,
CRF3065,M1,60,10000,1.031038919,
CRF3065,M1,70,10000,1.138507548,
CRF3065,M1,80,10000,1.207470834,
CRF3065,M1,90,10000,1.234110216,
CRF3065,M1,100,10000,1.253362431,
CRF3065,M1,200,10000,1.332971696,
CRF3065,M1,300,10000,1.335693128,
CRF3065,M1,400,10000,1.414506351,
CRF3065,M1,500,10000,1.463598205,
CRF3065,M1,600,10000,2.470541647,
CRF3065,M1,10,50000,0.049029644,
CRF3065,M1,20,50000,1.766040211,
CRF3065,M1,30,50000,3.808692815,
CRF3065,M1,40,50000,4.438042066,
CRF3065,M1,50,50000,5.086699989,
CRF3065,M1,60,50000,5.357706929,
CRF3065,M1,70,50000,5.490800704,
CRF3065,M1,80,50000,5.53109528,
CRF3065,M1,90,50000,5.543385192,
CRF3065,M1,100,50000,5.537072151,
CRF3065,M1,200,50000,5.58334291,
CRF3065,M1,300,50000,5.665513799,
CRF3065,M1,400,50000,5.677186088,
CRF3065,M1,500,50000,5.682468902,
CRF3065,M1,600,50000,5.725804184,
