SnakeID,Muscle,Stimulus(mA),Pulse_Width(us),Max_Force(g)
CRF3074,M1,10,50,0.042484048,
CRF3074,M1,20,50,0.040793521,
CRF3074,M1,30,50,0.619890312,
CRF3074,M1,40,50,0.374524755,
CRF3074,M1,50,50,1.026308322,
CRF3074,M1,60,50,1.017223608,
CRF3074,M1,70,50,1.149888842,
CRF3074,M1,80,50,1.134581493,
CRF3074,M1,90,50,1.129019426,
CRF3074,M1,100,50,1.155874373,
CRF3074,M1,200,50,1.179368901,
CRF3074,M1,300,50,1.229332292,
CRF3074,M1,400,50,1.26161317,
CRF3074,M1,500,50,1.236070358,
CRF3074,M1,600,50,1.294635536,
CRF3074,M1,10,100,0.047416629,
CRF3074,M1,20,100,0.040972061,
CRF3074,M1,30,100,0.036100417,
CRF3074,M1,40,100,0.850780894,
CRF3074,M1,50,100,0.680126835,
CRF3074,M1,60,100,1.171286044,
CRF3074,M1,70,100,1.128358153,
CRF3074,M1,80,100,1.141331979,
CRF3074,M1,90,100,1.142450137,
CRF3074,M1,100,100,1.149003536,
CRF3074,M1,200,100,1.135944242,
CRF3074,M1,300,100,1.220760432,
CRF3074,M1,400,100,1.213889935,
CRF3074,M1,500,100,1.267936743,
CRF3074,M1,600,100,1.314857713,
CRF3074,M1,10,1000,0.039689322,
CRF3074,M1,20,1000,0.031180485,
CRF3074,M1,30,1000,0.254950634,
CRF3074,M1,40,1000,0.17727287,
CRF3074,M1,50,1000,1.061575001,
CRF3074,M1,60,1000,1.143738509,
CRF3074,M1,70,1000,1.229813616,
CRF3074,M1,80,1000,1.247561026,
CRF3074,M1,90,1000,1.248957184,
CRF3074,M1,100,1000,1.230920462,
CRF3074,M1,200,1000,1.300845117,
CRF3074,M1,300,1000,1.32878533,
CRF3074,M1,400,1000,1.348827473,
CRF3074,M1,500,1000,1.363914922,
CRF3074,M1,600,1000,1.400780668,
CRF3074,M1,10,10000,0.048707828,
CRF3074,M1,20,10000,0.097893626,
CRF3074,M1,30,10000,0.046083509,
CRF3074,M1,40,10000,0.726176788,
CRF3074,M1,50,10000,0.589546615,
CRF3074,M1,60,10000,1.242020756,
CRF3074,M1,70,10000,1.207332068,
CRF3074,M1,80,10000,1.227277048,
CRF3074,M1,90,10000,1.22859989,
CRF3074,M1,100,10000,1.232852388,
CRF3074,M1,200,10000,1.224693899,
CRF3074,M1,300,10000,1.315560521,
CRF3074,M1,400,10000,1.329733737,
CRF3074,M1,500,10000,1.35223808,
CRF3074,M1,600,10000,1.402816665,
CRF3074,M1,10,50000,0.041761372,
CRF3074,M1,20,50000,0.159834138,
CRF3074,M1,30,50000,0.072311934,
CRF3074,M1,40,50000,0.986834408,
CRF3074,M1,50,50000,0.580779796,
CRF3074,M1,60,50000,1.197412698,
CRF3074,M1,70,50000,1.122967324,
CRF3074,M1,80,50000,1.164890731,
CRF3074,M1,90,50000,1.155007651,
CRF3074,M1,100,50000,1.164050148,
CRF3074,M1,200,50000,1.168980329,
CRF3074,M1,300,50000,1.238867464,
CRF3074,M1,400,50000,1.251125051,
CRF3074,M1,500,50000,1.272893587,
CRF3074,M1,600,50000,1.289848307,
