SnakeID,Muscle,Stimulus(mA),Pulse_Width(us),Max_Force(g)
CRF2679,M1,10,50,0.049874536,
CRF2679,M1,20,50,0.036786359,
CRF2679,M1,30,50,0.03494431,
CRF2679,M1,40,50,0.044345573,
CRF2679,M1,50,50,0.250918164,
CRF2679,M1,60,50,0.084795177,
CRF2679,M1,70,50,0.769576568,
CRF2679,M1,80,50,0.448733127,
CRF2679,M1,90,50,1.347850567,
CRF2679,M1,100,50,0.884019264,
CRF2679,M1,200,50,1.316170843,
CRF2679,M1,300,50,1.492309208,
CRF2679,M1,400,50,1.608859256,
CRF2679,M1,500,50,1.67612246,
CRF2679,M1,600,50,1.62160668,
CRF2679,M1,10,100,0.038318666,
CRF2679,M1,20,100,0.045201865,
CRF2679,M1,30,100,0.039703104,
CRF2679,M1,40,100,0.195015146,
CRF2679,M1,50,100,0.06018994,
CRF2679,M1,60,100,0.516570134,
CRF2679,M1,70,100,0.240496604,
CRF2679,M1,80,100,1.009413234,
CRF2679,M1,90,100,0.733323894,
CRF2679,M1,100,100,1.331833259,
CRF2679,M1,200,100,1.45563869,
CRF2679,M1,300,100,1.512954681,
CRF2679,M1,400,100,1.696466797,
CRF2679,M1,500,100,1.804493863,
CRF2679,M1,600,100,1.801303939,
CRF2679,M1,10,200,0.041800151,
CRF2679,M1,20,200,0.04028663,
CRF2679,M1,30,200,0.042634386,
CRF2679,M1,40,200,0.049074611,
CRF2679,M1,50,200,0.403712043,
CRF2679,M1,60,200,0.094147583,
CRF2679,M1,70,200,0.954054885,
CRF2679,M1,80,200,0.355086032,
CRF2679,M1,90,200,1.242625904,
CRF2679,M1,100,200,0.868139775,
CRF2679,M1,200,200,1.477447446,
CRF2679,M1,300,200,1.707563018,
CRF2679,M1,400,200,1.836632406,
CRF2679,M1,500,200,1.886805817,
CRF2679,M1,600,200,1.819665594,
CRF2679,M1,10,500,0.017902982,
CRF2679,M1,20,500,0.043690096,
CRF2679,M1,30,500,0.037889174,
CRF2679,M1,40,500,0.092275453,
CRF2679,M1,50,500,0.058366786,
CRF2679,M1,60,500,0.601954043,
CRF2679,M1,70,500,0.278360208,
CRF2679,M1,80,500,1.120055513,
CRF2679,M1,90,500,0.732739137,
CRF2679,M1,100,500,1.397675904,
CRF2679,M1,200,500,1.561428133,
CRF2679,M1,300,500,1.696967341,
CRF2679,M1,400,500,1.924724778,
CRF2679,M1,500,500,1.960592928,
CRF2679,M1,600,500,1.922041342,
CRF2679,M1,10,1000,0.039491322,
CRF2679,M1,20,1000,0.038180436,
CRF2679,M1,30,1000,0.04655758,
CRF2679,M1,40,1000,0.039932453,
CRF2679,M1,50,1000,0.264084714,
CRF2679,M1,60,1000,0.163010735,
CRF2679,M1,70,1000,0.869817892,
CRF2679,M1,80,1000,0.40425916,
CRF2679,M1,90,1000,1.312625091,
CRF2679,M1,100,1000,0.959058134,
CRF2679,M1,200,1000,1.506118154,
CRF2679,M1,300,1000,1.848797225,
CRF2679,M1,400,1000,2.005828476,
CRF2679,M1,500,1000,1.999922492,
CRF2679,M1,600,1000,1.927746771,
CRF2679,M1,10,10000,0.044747224,
CRF2679,M1,20,10000,0.041910483,
CRF2679,M1,30,10000,0.046417774,
CRF2679,M1,40,10000,0.149762556,
CRF2679,M1,50,10000,0.423577827,
CRF2679,M1,60,10000,0.754726617,
CRF2679,M1,70,10000,1.370333265,
CRF2679,M1,80,10000,1.541303213,
CRF2679,M1,90,10000,3.852661094,
CRF2679,M1,100,10000,5.00182622,
CRF2679,M1,200,10000,3.398283785,
CRF2679,M1,300,10000,4.80346196,
CRF2679,M1,400,10000,7.187429788,
CRF2679,M1,500,10000,4.983236861,
CRF2679,M1,600,10000,5.026652209,
CRF2679,M1,10,50000,0.048223518,
CRF2679,M1,20,50000,0.048881772,
CRF2679,M1,30,50000,0.044171162,
CRF2679,M1,40,50000,1.225536515,
CRF2679,M1,50,50000,3.045198349,
CRF2679,M1,60,50000,5.011147144,
CRF2679,M1,70,50000,6.047057348,
CRF2679,M1,80,50000,7.656929107,
CRF2679,M1,90,50000,7.87298522,
CRF2679,M1,100,50000,8.507380843,
CRF2679,M1,200,50000,9.370940766,
CRF2679,M1,300,50000,10.103348522,
CRF2679,M1,400,50000,9.974991531,
CRF2679,M1,500,50000,9.619651593,
CRF2679,M1,600,50000,9.243024201,
