SnakeID,Muscle,Stimulus(mA),Pulse_Width(us),Max_Force(g)
CRF3060,M1,10,50,0.184551744,
CRF3060,M1,20,50,0.817166411,
CRF3060,M1,30,50,1.203734837,
CRF3060,M1,40,50,1.153768498,
CRF3060,M1,50,50,1.30764896,
CRF3060,M1,60,50,1.310826946,
CRF3060,M1,70,50,1.349623646,
CRF3060,M1,80,50,1.324213148,
CRF3060,M1,90,50,1.412351219,
CRF3060,M1,100,50,1.392973311,
CRF3060,M1,200,50,1.417923979,
CRF3060,M1,300,50,1.493611886,
CRF3060,M1,400,50,1.452139636,
CRF3060,M1,500,50,1.581993317,
CRF3060,M1,600,50,1.525724963,
CRF3060,M1,10,100,0.175514236,
CRF3060,M1,20,100,0.802316963,
CRF3060,M1,30,100,1.046092079,
CRF3060,M1,40,100,1.39938958,
CRF3060,M1,50,100,1.367525245,
CRF3060,M1,60,100,1.401157861,
CRF3060,M1,70,100,1.360490975,
CRF3060,M1,80,100,1.372597247,
CRF3060,M1,90,100,1.42483421,
CRF3060,M1,100,100,1.394767071,
CRF3060,M1,200,100,1.401118877,
CRF3060,M1,300,100,1.463890548,
CRF3060,M1,400,100,1.589449553,
CRF3060,M1,500,100,1.519445969,
CRF3060,M1,600,100,1.613352525,
CRF3060,M1,10,200,0.082104833,
CRF3060,M1,20,200,0.748760059,
CRF3060,M1,30,200,1.244046277,
CRF3060,M1,40,200,1.208961283,
CRF3060,M1,50,200,1.403260262,
CRF3060,M1,60,200,1.399356079,
CRF3060,M1,70,200,1.433029027,
CRF3060,M1,80,200,1.407286955,
CRF3060,M1,90,200,1.452082246,
CRF3060,M1,100,200,1.480157899,
CRF3060,M1,200,200,1.448132374,
CRF3060,M1,300,200,1.56219469,
CRF3060,M1,400,200,1.515982016,
CRF3060,M1,500,200,1.769826379,
CRF3060,M1,600,200,1.574791647,
CRF3060,M1,10,500,0.064234225,
CRF3060,M1,20,500,0.783224097,
CRF3060,M1,30,500,1.025393249,
CRF3060,M1,40,500,1.29957343,
CRF3060,M1,50,500,1.208683545,
CRF3060,M1,60,500,1.294995965,
CRF3060,M1,70,500,1.268070569,
CRF3060,M1,80,500,1.289542248,
CRF3060,M1,90,500,1.320040923,
CRF3060,M1,100,500,1.269413314,
CRF3060,M1,200,500,1.321076137,
CRF3060,M1,300,500,1.337774291,
CRF3060,M1,400,500,1.457936707,
CRF3060,M1,500,500,1.402836997,
CRF3060,M1,600,500,1.514461024,
CRF3060,M1,10,1000,0.061740211,
CRF3060,M1,20,1000,0.261727148,
CRF3060,M1,30,1000,1.102006598,
CRF3060,M1,40,1000,1.044452925,
CRF3060,M1,50,1000,1.289700031,
CRF3060,M1,60,1000,1.275849829,
CRF3060,M1,70,1000,1.27648582,
CRF3060,M1,80,1000,1.30379417,
CRF3060,M1,90,1000,1.260327606,
CRF3060,M1,100,1000,1.318710684,
CRF3060,M1,200,1000,1.279428785,
CRF3060,M1,300,1000,1.393430515,
CRF3060,M1,400,1000,1.356163992,
CRF3060,M1,500,1000,1.441642395,
CRF3060,M1,600,1000,1.376598282,
CRF3060,M1,10,10000,0.069814296,
CRF3060,M1,20,10000,1.381494083,
CRF3060,M1,30,10000,1.792700773,
CRF3060,M1,40,10000,3.567150198,
CRF3060,M1,50,10000,2.61931072,
CRF3060,M1,60,10000,4.663260538,
CRF3060,M1,70,10000,2.71812531,
CRF3060,M1,80,10000,2.855829903,
CRF3060,M1,90,10000,5.102753264,
CRF3060,M1,100,10000,2.971971608,
CRF3060,M1,200,10000,2.928667947,
CRF3060,M1,300,10000,5.571834747,
CRF3060,M1,400,10000,3.276116427,
CRF3060,M1,500,10000,3.332684913,
CRF3060,M1,600,10000,5.92163969,
CRF3060,M1,10,50000,1.103740215,
CRF3060,M1,20,50000,10.531193333,
CRF3060,M1,30,50000,15.292040416,
CRF3060,M1,40,50000,17.501231273,
CRF3060,M1,50,50000,17.73990384,
CRF3060,M1,60,50000,17.655581685,
CRF3060,M1,70,50000,17.617061371,
CRF3060,M1,80,50000,17.352136516,
CRF3060,M1,90,50000,17.232067689,
CRF3060,M1,100,50000,17.093588481,
CRF3060,M1,200,50000,17.099361248,
CRF3060,M1,300,50000,16.909834952,
CRF3060,M1,400,50000,16.800736473,
CRF3060,M1,500,50000,16.407946193,
CRF3060,M1,600,50000,15.913731042,
