SnakeID,Muscle,Stimulus(mA),Pulse_Width(us),Max_Force(g)
CRF3064,M1,10,50,0.036762074,
CRF3064,M1,20,50,0.595829364,
CRF3064,M1,30,50,0.526388375,
CRF3064,M1,40,50,2.408018516,
CRF3064,M1,50,50,2.193772626,
CRF3064,M1,60,50,2.545130488,
CRF3064,M1,70,50,2.554005574,
CRF3064,M1,80,50,2.546597953,
CRF3064,M1,90,50,2.587557894,
CRF3064,M1,100,50,2.587908138,
CRF3064,M1,200,50,2.616478805,
CRF3064,M1,300,50,2.669088336,
CRF3064,M1,400,50,2.671488491,
CRF3064,M1,500,50,2.665835717,
CRF3064,M1,600,50,2.684439544,
CRF3064,M1,10,100,0.035023954,
CRF3064,M1,20,100,0.060886891,
CRF3064,M1,30,100,2.43026437,
CRF3064,M1,40,100,1.649422522,
CRF3064,M1,50,100,2.817927019,
CRF3064,M1,60,100,2.740677276,
CRF3064,M1,70,100,2.846022067,
CRF3064,M1,80,100,2.853739279,
CRF3064,M1,90,100,2.874237412,
CRF3064,M1,100,100,2.917528939,
CRF3064,M1,200,100,3.015172808,
CRF3064,M1,300,100,2.96714587,
CRF3064,M1,400,100,2.982578831,
CRF3064,M1,500,100,2.980789143,
CRF3064,M1,600,100,3.021199079,
CRF3064,M1,10,200,0.041922635,
CRF3064,M1,20,200,0.560393719,
CRF3064,M1,30,200,0.634311994,
CRF3064,M1,40,200,2.778652684,
CRF3064,M1,50,200,2.437430465,
CRF3064,M1,60,200,2.841582102,
CRF3064,M1,70,200,2.786913672,
CRF3064,M1,80,200,2.885202647,
CRF3064,M1,90,200,2.908565079,
CRF3064,M1,100,200,2.923598904,
CRF3064,M1,200,200,2.951894179,
CRF3064,M1,300,200,3.039926284,
CRF3064,M1,400,200,3.043531633,
CRF3064,M1,500,200,3.062580033,
CRF3064,M1,600,200,3.066833493,
CRF3064,M1,10,500,0.035249387,
CRF3064,M1,20,500,0.044927039,
CRF3064,M1,30,500,2.151349064,
CRF3064,M1,40,500,1.414941033,
CRF3064,M1,50,500,2.656552883,
CRF3064,M1,60,500,2.568156731,
CRF3064,M1,70,500,2.720640333,
CRF3064,M1,80,500,2.695398883,
CRF3064,M1,90,500,2.780619082,
CRF3064,M1,100,500,2.816406417,
CRF3064,M1,200,500,2.870696376,
CRF3064,M1,300,500,2.945072149,
CRF3064,M1,400,500,2.935801588,
CRF3064,M1,500,500,2.916898829,
CRF3064,M1,600,500,2.958838288,
CRF3064,M1,10,1000,0.034661064,
CRF3064,M1,20,1000,0.420406809,
CRF3064,M1,30,1000,0.426859434,
CRF3064,M1,40,1000,2.564116674,
CRF3064,M1,50,1000,1.914043871,
CRF3064,M1,60,1000,2.645242088,
CRF3064,M1,70,1000,2.586543686,
CRF3064,M1,80,1000,2.648363146,
CRF3064,M1,90,1000,2.654329286,
CRF3064,M1,100,1000,2.683339089,
CRF3064,M1,200,1000,2.782690011,
CRF3064,M1,300,1000,2.848254652,
CRF3064,M1,400,1000,2.847182877,
CRF3064,M1,500,1000,2.845167836,
CRF3064,M1,600,1000,2.869655851,
CRF3064,M1,10,10000,0.038295013,
CRF3064,M1,20,10000,0.474440263,
CRF3064,M1,30,10000,4.945909572,
CRF3064,M1,40,10000,3.956542039,
CRF3064,M1,50,10000,5.403494989,
CRF3064,M1,60,10000,8.419282554,
CRF3064,M1,70,10000,5.762934663,
CRF3064,M1,80,10000,5.824143526,
CRF3064,M1,90,10000,8.812931571,
CRF3064,M1,100,10000,8.846173457,
CRF3064,M1,200,10000,5.905417365,
CRF3064,M1,300,10000,6.086567682,
CRF3064,M1,400,10000,9.177482419,
CRF3064,M1,500,10000,9.094100153,
CRF3064,M1,600,10000,9.052449991,
CRF3064,M1,10,50000,0.039558608,
CRF3064,M1,20,50000,1.248976432,
CRF3064,M1,30,50000,7.675580388,
CRF3064,M1,40,50000,11.700249561,
CRF3064,M1,50,50000,12.111588122,
CRF3064,M1,60,50000,8.346315192,
CRF3064,M1,70,50000,6.539277775,
CRF3064,M1,80,50000,3.884295645,
CRF3064,M1,90,50000,3.774289525,
CRF3064,M1,100,50000,3.669428598,
CRF3064,M1,200,50000,3.599666594,
CRF3064,M1,300,50000,3.550803094,
CRF3064,M1,400,50000,3.474745043,
CRF3064,M1,500,50000,3.434056989,
CRF3064,M1,600,50000,3.33399633,
