SnakeID,Muscle,Stimulus(mA),Pulse_Width(us),Max_Force(g)
CRF3069,M1,10,50,0.366616374,
CRF3069,M1,20,50,0.613381706,
CRF3069,M1,30,50,0.817103381,
CRF3069,M1,40,50,1.224557533,
CRF3069,M1,50,50,1.428195621,
CRF3069,M1,60,50,1.748644708,
CRF3069,M1,70,50,1.960828754,
CRF3069,M1,80,50,2.048720014,
CRF3069,M1,90,50,2.118813892,
CRF3069,M1,100,50,2.119831461,
CRF3069,M1,200,50,2.197615807,
CRF3069,M1,300,50,2.49984887,
CRF3069,M1,400,50,2.83767212,
CRF3069,M1,500,50,2.794867078,
CRF3069,M1,600,50,3.08515981,
CRF3069,M1,10,100,0.318824923,
CRF3069,M1,20,100,0.573314768,
CRF3069,M1,30,100,0.855595308,
CRF3069,M1,40,100,1.151466209,
CRF3069,M1,50,100,1.421266899,
CRF3069,M1,60,100,1.720921665,
CRF3069,M1,70,100,1.911337732,
CRF3069,M1,80,100,1.978761829,
CRF3069,M1,90,100,2.012467488,
CRF3069,M1,100,100,2.034841953,
CRF3069,M1,200,100,2.098253917,
CRF3069,M1,300,100,2.419567706,
CRF3069,M1,400,100,2.737849022,
CRF3069,M1,500,100,2.863684741,
CRF3069,M1,600,100,3.016117901,
CRF3069,M1,10,200,0.297397513,
CRF3069,M1,20,200,0.514516997,
CRF3069,M1,30,200,0.747074188,
CRF3069,M1,40,200,1.137236661,
CRF3069,M1,50,200,1.431785408,
CRF3069,M1,60,200,1.622723043,
CRF3069,M1,70,200,1.851839305,
CRF3069,M1,80,200,1.939234746,
CRF3069,M1,90,200,1.973467415,
CRF3069,M1,100,200,2.002904826,
CRF3069,M1,200,200,2.023059891,
CRF3069,M1,300,200,2.408880475,
CRF3069,M1,400,200,2.755933447,
CRF3069,M1,500,200,2.909486907,
CRF3069,M1,600,200,3.058795667,
CRF3069,M1,10,500,0.291796243,
CRF3069,M1,20,500,0.60538503,
CRF3069,M1,30,500,0.76007113,
CRF3069,M1,40,500,1.209725554,
CRF3069,M1,50,500,1.461814177,
CRF3069,M1,60,500,1.647310602,
CRF3069,M1,70,500,1.854930499,
CRF3069,M1,80,500,1.975891834,
CRF3069,M1,90,500,2.028568848,
CRF3069,M1,100,500,2.021358171,
CRF3069,M1,200,500,2.054227868,
CRF3069,M1,300,500,2.515017976,
CRF3069,M1,400,500,2.79989174,
CRF3069,M1,500,500,3.005792014,
CRF3069,M1,600,500,3.094556343,
