Museum #,Snake,Lab,Locality,Watershed,"County, State",Latitude,Longitude,50_MAMU,IC50 
no voucher,no collector ID,1.002,ColdSpringsCreek,Upper Tule,"Tulare, CA",36.006667,-118.701667,161.5,NA
no voucher,no collector ID,1.009,Cold Springs Creek,Upper Tule,"Tulare, CA",36.006667,-118.701667,149.5,NA
no voucher,no collector ID,1.01,Cold Springs Creek,Upper Tule,"Tulare, CA",36.006667,-118.701667,40,NA
no voucher,no collector ID,1.011,Cold Springs Creek,Upper Tule,"Tulare, CA",36.006667,-118.701667,100,NA
no voucher,no collector ID,1.012,Cold Springs Creek,Upper Tule,"Tulare, CA",36.006667,-118.701667,36.5,NA
no voucher,no collector ID,1.013,Cold Springs Creek,Upper Tule,"Tulare, CA",36.006667,-118.701667,61.5,NA
no voucher,no collector ID,1.014,Cold Springs Creek,Upper Tule,"Tulare, CA",36.006667,-118.701667,123.8,NA
no voucher,no collector ID,1.015,Cold Springs Creek,Upper Tule,"Tulare, CA",36.006667,-118.701667,119.5,NA
no voucher,no collector ID,1.016,Cold Springs Creek,Upper Tule,"Tulare, CA",36.006667,-118.701667,73.8,NA
no voucher,no collector ID,1.017,Cold Springs Creek,Upper Tule,"Tulare, CA",36.006667,-118.701667,109,NA
no voucher,no collector ID,1.018,Cold Springs Creek,Upper Tule,"Tulare, CA",36.006667,-118.701667,120,NA
no voucher,no collector ID,1.021,Cold Springs Creek,Upper Tule,"Tulare, CA",36.006667,-118.701667,142,NA
no voucher,no collector ID,1.022,Cold Springs Creek,Upper Tule,"Tulare, CA",36.006667,-118.701667,134.9,NA
no voucher,DGM583,DGM583,Cold Springs Creek,Upper Tule,"Tulare, CA",36.006667,-118.701667,100,NA
no voucher,DGM584,DGM584,Cold Springs Creek,Upper Tule,"Tulare, CA",36.006667,-118.701667,100,NA
no voucher,DGM585,DGM585,Cold Springs Creek,Upper Tule,"Tulare, CA",36.006667,-118.701667,100,NA
no voucher,DGM586,DGM586,Cold Springs Creek,Upper Tule,"Tulare, CA",36.006667,-118.701667,100,NA
no voucher,DGM594,DGM594,Cold Springs Creek,Upper Tule,"Tulare, CA",36.006667,-118.701667,100,NA
no voucher,DGM595,DGM595,Cold Springs Creek,Upper Tule,"Tulare, CA",36.006667,-118.701667,100,NA
no voucher,DGM596,DGM596,Cold Springs Creek,Upper Tule,"Tulare, CA",36.006667,-118.701667,100,NA
no voucher,DGM598,DGM598,Cold Springs Creek,Upper Tule,"Tulare, CA",36.006667,-118.701667,100,NA
no voucher,SE1,SE1,Cold Springs Creek,Upper Tule,"Tulare, CA",36.006667,-118.701667,48.8,NA
no voucher,SE10,SE10,Cold Springs Creek,Upper Tule,"Tulare, CA",36.006667,-118.701667,41.1,NA
no voucher,SE11,SE11,Cold Springs Creek,Upper Tule,"Tulare, CA",36.006667,-118.701667,86,NA
no voucher,SE12,SE12,Cold Springs Creek,Upper Tule,"Tulare, CA",36.006667,-118.701667,92.9,NA
no voucher,SE13,SE13,Cold Springs Creek,Upper Tule,"Tulare, CA",36.006667,-118.701667,85.8,NA
no voucher,SE14,SE14,Cold Springs Creek,Upper Tule,"Tulare, CA",36.006667,-118.701667,73.7,NA
no voucher,SE15,SE15,Cold Springs Creek,Upper Tule,"Tulare, CA",36.006667,-118.701667,79.2,NA
no voucher,SE2,SE2,Cold Springs Creek,Upper Tule,"Tulare, CA",36.006667,-118.701667,53.6,NA
no voucher,SE3,SE3,Cold Springs Creek,Upper Tule,"Tulare, CA",36.006667,-118.701667,69.9,NA
no voucher,SE4,SE4,Cold Springs Creek,Upper Tule,"Tulare, CA",36.006667,-118.701667,50.6,NA
no voucher,SE5,SE5,Cold Springs Creek,Upper Tule,"Tulare, CA",36.006667,-118.701667,60.7,NA
no voucher,SE6,SE6,Cold Springs Creek,Upper Tule,"Tulare, CA",36.006667,-118.701667,65,NA
no voucher,SE7,SE7,Cold Springs Creek,Upper Tule,"Tulare, CA",36.006667,-118.701667,77.1,NA
no voucher,SE8,SE8,Cold Springs Creek,Upper Tule,"Tulare, CA",36.006667,-118.701667,95,NA
no voucher,SE9,SE9,Cold Springs Creek,Upper Tule,"Tulare, CA",36.006667,-118.701667,57.7,NA
no voucher,SS1,SS1,Cold Springs Creek,Upper Tule,"Tulare, CA",36.006667,-118.701667,95,NA
no voucher,SS2,SS2,Cold Springs Creek,Upper Tule,"Tulare, CA",36.006667,-118.701667,95,NA
no voucher,SS3,SS3,Cold Springs Creek,Upper Tule,"Tulare, CA",36.006667,-118.701667,85.3,NA
no voucher,SS4,SS4,Cold Springs Creek,Upper Tule,"Tulare, CA",36.006667,-118.701667,95,NA
no voucher,SS5,SS5,Cold Springs Creek,Upper Tule,"Tulare, CA",36.006667,-118.701667,95,NA
no voucher,SS6,SS6,Cold Springs Creek,Upper Tule,"Tulare, CA",36.006667,-118.701667,95,NA
no voucher,SS7,SS7,Cold Springs Creek,Upper Tule,"Tulare, CA",36.006667,-118.701667,80.2,NA
no voucher,SS8,SS8,Cold Springs Creek,Upper Tule,"Tulare, CA",36.006667,-118.701667,95,NA
no voucher,SS9,SS9,Cold Springs Creek,Upper Tule,"Tulare, CA",36.006667,-118.701667,95,NA
no voucher,SZ1,SZ1,Cold Springs Creek,Upper Tule,"Tulare, CA",36.006667,-118.701667,93.7,NA
no voucher,SZ10,SZ10,Cold Springs Creek,Upper Tule,"Tulare, CA",36.006667,-118.701667,86.4,NA
no voucher,SZ11,SZ11,Cold Springs Creek,Upper Tule,"Tulare, CA",36.006667,-118.701667,59,NA
no voucher,SZ12,SZ12,Cold Springs Creek,Upper Tule,"Tulare, CA",36.006667,-118.701667,84.7,NA
no voucher,SZ2,SZ2,Cold Springs Creek,Upper Tule,"Tulare, CA",36.006667,-118.701667,84.2,NA
no voucher,SZ3,SZ3,Cold Springs Creek,Upper Tule,"Tulare, CA",36.006667,-118.701667,95,NA
no voucher,SZ4,SZ4,Cold Springs Creek,Upper Tule,"Tulare, CA",36.006667,-118.701667,64,NA
no voucher,SZ5,SZ5,Cold Springs Creek,Upper Tule,"Tulare, CA",36.006667,-118.701667,95,NA
no voucher,SZ7,SZ7,Cold Springs Creek,Upper Tule,"Tulare, CA",36.006667,-118.701667,75.9,NA
no voucher,SZ8,SZ8,Cold Springs Creek,Upper Tule,"Tulare, CA",36.006667,-118.701667,57.4,NA
no voucher,SZ9,SZ9,Cold Springs Creek,Upper Tule,"Tulare, CA",36.006667,-118.701667,81.8,NA
no voucher,TT1,TT1,Cold Springs Creek,Upper Tule,"Tulare, CA",36.006667,-118.701667,95,NA
no voucher,TT2,TT2,Cold Springs Creek,Upper Tule,"Tulare, CA",36.006667,-118.701667,95,NA
no voucher,TT3,TT3,Cold Springs Creek,Upper Tule,"Tulare, CA",36.006667,-118.701667,82.5,NA
no voucher,TT4,TT4,Cold Springs Creek,Upper Tule,"Tulare, CA",36.006667,-118.701667,95,NA
no voucher,TT5,TT5,Cold Springs Creek,Upper Tule,"Tulare, CA",36.006667,-118.701667,95,NA
no voucher,TT6,TT6,Cold Springs Creek,Upper Tule,"Tulare, CA",36.006667,-118.701667,95,NA
no voucher,TT7,TT7,Cold Springs Creek,Upper Tule,"Tulare, CA",36.006667,-118.701667,73.6,NA
no voucher,UG1,UG1,Cold Springs Creek,Upper Tule,"Tulare, CA",36.006667,-118.701667,77.3,NA
no voucher,UG10,UG10,Cold Springs Creek,Upper Tule,"Tulare, CA",36.006667,-118.701667,95,NA
no voucher,UG11,UG11,Cold Springs Creek,Upper Tule,"Tulare, CA",36.006667,-118.701667,61.3,NA
no voucher,UG13,UG13,Cold Springs Creek,Upper Tule,"Tulare, CA",36.006667,-118.701667,95,NA
no voucher,UG2,UG2,Cold Springs Creek,Upper Tule,"Tulare, CA",36.006667,-118.701667,64.9,NA
no voucher,UG4,UG4,Cold Springs Creek,Upper Tule,"Tulare, CA",36.006667,-118.701667,67.7,NA
no voucher,UG5,UG5,Cold Springs Creek,Upper Tule,"Tulare, CA",36.006667,-118.701667,54.2,NA
no voucher,UG6,UG6,Cold Springs Creek,Upper Tule,"Tulare, CA",36.006667,-118.701667,64.5,NA
no voucher,UG7,UG7,Cold Springs Creek,Upper Tule,"Tulare, CA",36.006667,-118.701667,70.6,NA
no voucher,UG8,UG8,Cold Springs Creek,Upper Tule,"Tulare, CA",36.006667,-118.701667,61,NA
no voucher,UG9,UG9,Cold Springs Creek,Upper Tule,"Tulare, CA",36.006667,-118.701667,76,NA
no voucher,UM1,UM1,Cold Springs Creek,Upper Tule,"Tulare, CA",36.006667,-118.701667,112.4,NA
no voucher,UM10,UM10,Cold Springs Creek,Upper Tule,"Tulare, CA",36.006667,-118.701667,86.9,NA
no voucher,UM11,UM11,Cold Springs Creek,Upper Tule,"Tulare, CA",36.006667,-118.701667,90.8,NA
no voucher,UM12,UM12,Cold Springs Creek,Upper Tule,"Tulare, CA",36.006667,-118.701667,98.8,NA
no voucher,UM2,UM2,Cold Springs Creek,Upper Tule,"Tulare, CA",36.006667,-118.701667,113.4,NA
no voucher,UM3,UM3,Cold Springs Creek,Upper Tule,"Tulare, CA",36.006667,-118.701667,147.4,NA
no voucher,UM4,UM4,Cold Springs Creek,Upper Tule,"Tulare, CA",36.006667,-118.701667,121,NA
no voucher,UM5,UM5,Cold Springs Creek,Upper Tule,"Tulare, CA",36.006667,-118.701667,97.1,NA
no voucher,UM6,UM6,Cold Springs Creek,Upper Tule,"Tulare, CA",36.006667,-118.701667,83.4,NA
no voucher,UM7,UM7,Cold Springs Creek,Upper Tule,"Tulare, CA",36.006667,-118.701667,84.3,NA
no voucher,UM8,UM8,Cold Springs Creek,Upper Tule,"Tulare, CA",36.006667,-118.701667,107.6,NA
no voucher,UM9,UM9,Cold Springs Creek,Upper Tule,"Tulare, CA",36.006667,-118.701667,100,NA
no voucher,EDBjr20106,01--21,Tyler Creek,Upper Deer Upper White,"Tulare, CA",35.902583,-118.6425,100,NA
no voucher,EDBjr20107,01--22,Tyler Creek,Upper Deer Upper White,"Tulare, CA",35.902583,-118.6425,100,NA
no voucher,EDBjr20104,Tc 01.19,Tyler Creek,Upper Deer Upper White,"Tulare, CA",35.902583,-118.6425,158,NA
no voucher,EDBjr20105,Tc 01.20,Tyler Creek,Upper Deer Upper White,"Tulare, CA",35.902583,-118.6425,162,NA
