species,INDIV,CollPreNo,locality,region,County,sex,age,mass_g,SVL_cm,TL_cm,baseline_ms,MAMU,allele_a,allele_b
Thamnophis atratus,15.55,CRF 2718,Van Duzen River,nor_coast,NA,NA,subadult,10.8,NA,NA,0.50968,3.08,P,P
Thamnophis atratus,16.04,CRF 3008,Carson Falls,north_bay,NA,NA,neonate,3.1,NA,NA,0.3788,2.4,NA,NA
Thamnophis atratus,16.06,CRF 3012,Zim Zim Creek,north_bay,NA,NA,adult,28.4,NA,NA,0.7752,5.5,P,P
Thamnophis atratus,16.07,CRF 3013,Zim Zim Creek,north_bay,NA,NA,adult,31.5,NA,NA,0.7564,2.85,NA,NA
Thamnophis atratus,16.08,CRF 3014,Zim Zim Creek,north_bay,NA,NA,adult,24.7,NA,NA,0.7547,3.95,NA,NA
Thamnophis atratus,16.09,CRF 3015,Zim Zim Creek,north_bay,NA,NA,adult,33.7,NA,NA,0.6748,6.6,NA,NA
Thamnophis atratus,16.1,CRF 3016,Zim Zim Creek,north_bay,NA,NA,adult,27.4,NA,NA,0.7819,6.3,NA,NA
Thamnophis atratus,16.104,CRF 3081,Montara Beach,south_bay,NA,NA,adult,28,NA,NA,0.5903,1.4,NA,NA
Thamnophis atratus,16.105,CRF 3082,Montara Beach,south_bay,NA,NA,subadult,7.9,NA,NA,0.3926,3.05,NA,NA
Thamnophis atratus,16.106,CRF 3083,Montara Beach,south_bay,NA,NA,subadult,18.5,NA,NA,0.4776,11.1,NA,NA
Thamnophis atratus,16.107,CRF 3084,Montara Beach,south_bay,NA,NA,subadult,11.6,NA,NA,0.5316,4.1,NA,NA
Thamnophis atratus,16.11,CRF 3030,Angelo,nor_coast,NA,NA,adult,52.6,NA,NA,0.7728,4.5,NA,NA
Thamnophis atratus,16.12,CRF 3031,Angelo,nor_coast,NA,NA,adult,20.9,NA,NA,0.6464,2.3,NA,NA
Thamnophis atratus,16.13,"Hog Lake, Hopland Thamnophis atratus 5/15 9:15",Hog Lk.,north_bay,NA,NA,adult,47.4,NA,NA,0.6983,16.4,NA,NA
Thamnophis atratus,16.155,CRF 3106,Santa Cruz,south_bay,NA,NA,adult,99.1,NA,NA,0.7508,250,EPN,EPN
Thamnophis atratus,16.156,CRF 3107,Santa Cruz,south_bay,NA,NA,adult,84.3,NA,NA,0.5963,250,EPN,EPN
Thamnophis atratus,16.158,CRF 3109,Santa Cruz,south_bay,NA,NA,adult,99.3,NA,NA,0.5731,250,EPN,EPN
Thamnophis atratus,16.159,CRF 3110,Santa Cruz,south_bay,NA,NA,neonate,5.6,NA,NA,0.389,250,EPN,EPN
Thamnophis atratus,16.16,CRF 3111,Santa Cruz,south_bay,NA,NA,subadult,16.6,NA,NA,0.6112,250,EPN,EPN
Thamnophis atratus,16.161,CRF 3112,Santa Cruz,south_bay,NA,NA,adult,28.4,NA,NA,0.6378,250,EPN,EPN
Thamnophis atratus,16.65,CRF 3043,Castle Lk.,nor_coast,NA,NA,subadult,17.5,NA,NA,0.6435,1.9,WT,WT
Thamnophis atratus,16.66,CRF 3044,Castle Lk.,nor_coast,NA,NA,adult,48.5,NA,NA,0.7949,2.4,NA,NA
