species,INDIV,CollPreNo,locality,region,County,sex,age,mass_g,SVL_cm,TL_cm,baseline_ms,MAMU,allele_a,allele_b
Thamnophis atratus,NA,CRF3456,Hammerhorn Lk.,nor_coast,NA,F,adult,40.5,45,NA,1.275,0.623,P,P
Thamnophis atratus,NA,CRF3457,Hammerhorn Lk.,nor_coast,NA,F,adult,72,62,NA,0.7536,0.835,P,P
Thamnophis atratus,NA,CRF3458,Hammerhorn Lk.,nor_coast,NA,F,adult,84,56,NA,0.6266,NA,P,P
Thamnophis atratus,NA,CRF3459,Hammerhorn Lk.,nor_coast,NA,F,adult,97,55.5,NA,0.7815,1.62,P,P
Thamnophis atratus,NA,EJE 221,Little Sulphur Creek,south_bay,NA,M,adult,47,43.5,NA,0.7498,13,P,P
Thamnophis atratus,NA,Hague17.03,Hog Lk.,north_bay,NA,M,adult,26,38,NA,0.7132,10.1,P,P
Thamnophis atratus,NA,Hague17.04,Hog Lk.,north_bay,NA,M,adult,50,46.5,NA,0.9497,3.49,P,P
Thamnophis atratus,NA,Hague17.05,Hog Lk.,north_bay,NA,F,adult,95,52,NA,0.4726,16.4,P,P
Thamnophis atratus,NA,Hague17.06,Hog Lk.,north_bay,NA,M,adult,65,52.5,NA,0.8481,6.93,P,P
Thamnophis atratus,NA,JSR005,Waddell Creek,south_bay,NA,M,adult,47,43,NA,0.9616,250,EPN,EPN
Thamnophis atratus,NA,JSR006,Waddell Creek,south_bay,NA,F,adult,101,59,NA,0.6077,478.33,EPN,EPN
Thamnophis atratus,NA,JSR010,Waddell Creek,south_bay,NA,M,adult,23,35,NA,0.6986,315.77,EPN,EPN
Thamnophis atratus,NA,JSR029,Waddell Creek,south_bay,NA,F,adult,46,46.5,NA,0.5696,1816.67,EPN,EPN
Thamnophis atratus,NA,JSR030,Waddell Creek,south_bay,NA,M,adult,44,46,NA,0.7392,737.33,EPN,EPN
Thamnophis atratus,NA,JSR031,Waddell Creek,south_bay,NA,F,adult,39,43.5,NA,0.689,250,EPN,EPN
Thamnophis atratus,NA,JSR032,Scott Creek,south_bay,NA,F,adult,39,48.5,NA,0.7826,60.77,EPN,EPN
Thamnophis atratus,NA,JSR033,Scott Creek,south_bay,NA,M,subadult,12,29,NA,0.6664,255.12,EPN,EPN
Thamnophis atratus,NA,JSR034,Waddell Creek,south_bay,NA,F,adult,75,49,NA,0.7411,300.78,EPN,EPN
Thamnophis atratus,NA,JSR036,Waddell Creek,south_bay,NA,F,adult,114,58.5,NA,0.5421,250,EPN,EPN
Thamnophis atratus,NA,VLT097,Montara Beach,south_bay,NA,NA,subadult,10,28,NA,0.6434,0.93,P,P
Thamnophis atratus,NA,VLT114,Waddell Creek,south_bay,NA,F,adult,47,42,NA,0.4749,NA,EPN,EPN
Thamnophis atratus,NA,VLT115,Waddell Creek,south_bay,NA,M,adult,44,46,NA,0.7257,553.452,EPN,EPN
Thamnophis atratus,NA,VLT116,Waddell Creek,south_bay,NA,M,adult,40.5,43,NA,0.727,147.471,EPN,EPN
Thamnophis atratus,NA,VLT117,Waddell Creek,south_bay,NA,F,adult,44.5,45.5,NA,0.9036,836.673,EPN,EPN
Thamnophis atratus,NA,VLT118,Waddell Creek,south_bay,NA,F,adult,60.5,52.5,NA,0.8988,723.529,EPN,EPN
Thamnophis atratus,NA,VLT119,Waddell Creek,south_bay,NA,M,adult,56,50,NA,0.9255,86.79,EPN,EPN
Thamnophis atratus,NA,VLT121,Waddell Creek,south_bay,NA,M,adult,58,50,NA,0.8651,49.082,EPN,EPN
Thamnophis atratus,NA,VLT122,Waddell Creek,south_bay,NA,F,adult,93,55.5,NA,0.3806,NA,EPN,EPN
Thamnophis couchii,10,NA,NA,NA,NA,NA,NA,7.2,24.3,34,1.202,NA,T,T
Thamnophis couchii,11,NA,NA,NA,NA,NA,NA,7.5,22.2,30.1,1.463,63.5,T,T
Thamnophis couchii,11.017,NA,N Fork Mokelumne River,NA,NA,NA,NA,23.4,24,31.8,0.954,3.06,T,T
Thamnophis couchii,11.018,NA,N Fork Mokelumne River,NA,NA,NA,NA,24.7,25.4,34,0.803,2.47,T,T
Thamnophis couchii,12,NA,NA,NA,NA,NA,NA,5.1,22.8,31.4,1.084,36.5,T,T
Thamnophis couchii,12.02,CRF2335,N Fork Mokelumne River,NA,NA,NA,NA,35.8,NA,NA,0.617,13.9,T,T
Thamnophis couchii,12.021,CRF2336,N Fork Mokelumne River,NA,NA,NA,NA,4.9,NA,NA,1.067,NA,T,T
Thamnophis couchii,12.022,CRF2337,N Fork Mokelumne River,NA,NA,NA,NA,5.1,NA,NA,1.042,NA,T,T
Thamnophis couchii,12.023,CRF2338,N Fork Mokelumne River,NA,NA,NA,NA,5.4,NA,NA,0.911,15,T,T
Thamnophis couchii,12.024,CRF2339,N Fork Mokelumne River,NA,NA,NA,NA,4.9,NA,NA,0.845,NA,T,T
Thamnophis couchii,12.025,CRF2340,N Fork Mokelumne River,NA,NA,NA,NA,50.6,NA,NA,0.544,15.8,T,T
Thamnophis couchii,12.026,CRF2341,N Fork Feather River,NA,NA,NA,NA,5.5,NA,NA,0.982,4.73,T,T
Thamnophis couchii,12.027,CRF2342,N Fork Feather River,NA,NA,NA,NA,6.2,NA,NA,0.902,6.38,T,T
Thamnophis couchii,12.03,CRF2346,N Fork Mokelumne River,NA,NA,NA,NA,5.9,NA,NA,0.848,7.3,T,T
Thamnophis couchii,13,NA,NA,NA,NA,NA,NA,16.8,37.2,49.9,0.791,61.5,T,T
Thamnophis couchii,14,NA,NA,NA,NA,NA,NA,41.4,47.7,65,0.806,123.8,T,T
Thamnophis couchii,15,NA,NA,NA,NA,NA,NA,23.3,38.4,53.2,0.688,119.5,T,T
Thamnophis couchii,15.22,CRF2669,Canyon Creek,NA,Nevada,NA,NA,19.9,NA,NA,0.731,82.5,T,T
Thamnophis couchii,15.23,CRF2670,Canyon Creek,NA,Nevada,NA,NA,7.2,NA,NA,0.877,82,T,T
Thamnophis couchii,15.24,CRF2671,Canyon Creek,NA,Nevada,NA,NA,50.9,NA,NA,0.592,17,T,T
Thamnophis couchii,15.25,CRF2672,Canyon Creek,NA,Nevada,NA,NA,10.8,NA,NA,0.661,32,T,T
Thamnophis couchii,15.26,CRF2673,Canyon Creek,NA,Nevada,NA,NA,22.4,NA,NA,0.661,21.8,T,T
Thamnophis couchii,15.27,CRF2674,Canyon Creek,NA,Nevada,NA,NA,5,NA,NA,0.893,21.9,T,T
Thamnophis couchii,15.28,CRF2675,Canyon Creek,NA,Nevada,NA,NA,4.7,NA,NA,1.007,33.7,T,T
Thamnophis couchii,15.29,CRF2676,Canyon Creek,NA,Nevada,NA,NA,20.6,NA,NA,0.691,21.3,T,T
Thamnophis couchii,15.3,CRF2677,Canyon Creek,NA,Nevada,NA,NA,5.8,NA,NA,0.905,40.2,T,T
Thamnophis couchii,15.31,CRF2678,Canyon Creek,NA,Nevada,NA,NA,15.8,NA,NA,0.724,36.5,T,T
Thamnophis couchii,15.32,CRF2679,Canyon Creek,NA,Nevada,NA,NA,11.4,NA,NA,0.795,35.7,T,T
Thamnophis couchii,15.33,CRF2680,Canyon Creek,NA,Nevada,NA,NA,7.9,NA,NA,0.793,40.8,T,T
Thamnophis couchii,15.34,CRF2681,Canyon Creek,NA,Nevada,NA,NA,18.2,NA,NA,0.679,20.6,T,T
Thamnophis couchii,15.35,CRF2630,Deep Creek,NA,Fresno,NA,NA,6.8,NA,NA,1.049,NA,T,T
Thamnophis couchii,15.36,CRF2631,Deep Creek,NA,Fresno,NA,NA,22.8,NA,NA,0.84,175,T,T
Thamnophis couchii,15.65,KDW598,NA,NA,Alpine Co.,NA,NA,77,NA,NA,0.751,17.4,T,T
Thamnophis couchii,16,NA,NA,NA,NA,NA,NA,36.4,42,58.3,0.755,73.8,T,T
Thamnophis couchii,16.1,EJE158,Faucherie Lk. Dam,NA,Nevada,NA,NA,56.8,NA,NA,0.833,8.6,T,T
Thamnophis couchii,16.101,EJE159,Faucherie Lk. Dam,NA,Nevada,NA,NA,33.2,NA,NA,0.71,21.4,T,T
Thamnophis couchii,16.102,EJE160,Faucherie Lk. Dam,NA,Nevada,NA,NA,9.4,NA,NA,0.913,21.7,T,T
Thamnophis couchii,16.108,CRF3063,Cherry Creek,NA,Tuolumne,NA,NA,89.2,NA,NA,0.865,NA,T,T
Thamnophis couchii,16.109,CRF3064,Cherry Creek,NA,Tuolumne,NA,NA,48.8,NA,NA,0.751,69,T,T
Thamnophis couchii,16.11,CRF3065,Cherry Creek,NA,Tuolumne,NA,NA,59.4,NA,NA,0.785,85.3,T,T
Thamnophis couchii,16.111,CRF3066,Cherry Creek,NA,Tuolumne,NA,NA,62.7,NA,NA,0.731,122.8,T,T
Thamnophis couchii,16.112,CRF3067,Cherry Creek,NA,Tuolumne,NA,NA,35.9,NA,NA,0.952,NA,T,T
Thamnophis couchii,16.114,CRF3069,Cherry Creek,NA,Tuolumne,NA,NA,48.8,NA,NA,0.594,37.8,T,T
Thamnophis couchii,16.115,CRF3070,Cherry Creek,NA,Tuolumne,NA,NA,41.5,NA,NA,0.917,58.8,T,T
Thamnophis couchii,16.117,CRF3072,Cherry Creek,NA,Tuolumne,NA,NA,48.9,NA,NA,0.737,82.9,T,T
Thamnophis couchii,16.119,CRF3074,Cherry Creek,NA,Tuolumne,NA,NA,25.8,NA,NA,0.977,21.9,T,T
Thamnophis couchii,16.12,EJE161,Jackson Meadows Rivers,NA,Sierra,NA,NA,10.9,NA,NA,0.816,13.6,T,T
Thamnophis couchii,16.122,EJE163,Jackson Meadows Rivers,NA,Sierra,NA,NA,49,NA,NA,0.688,3.7,T,T
Thamnophis couchii,16.123,EJE164,Carr Lk.,NA,Nevada,NA,NA,41,NA,NA,0.683,3.1,T,T
Thamnophis couchii,16.124,EJE165,Canyon Creek,NA,Nevada,NA,NA,32.6,NA,NA,0.711,3.65,T,T
Thamnophis couchii,16.126,EJE167,Canyon Creek,NA,Nevada,NA,NA,7.7,NA,NA,1.09,4.08,T,T
Thamnophis couchii,16.129,EJE170,Canyon Creek,NA,Nevada,NA,NA,9.1,NA,NA,0.904,3.26,T,T
Thamnophis couchii,16.13,EJE171,Canyon Creek,NA,Nevada,NA,NA,6.3,NA,NA,0.886,NA,T,T
Thamnophis couchii,16.131,EJE172,Canyon Creek,NA,Nevada,NA,NA,9.2,NA,NA,0.922,7.96,T,T
Thamnophis couchii,16.132,EJE173,Canyon Creek,NA,Nevada,NA,NA,7.9,NA,NA,1.118,4.5,T,T
Thamnophis couchii,16.133,EJE174,Milton Rivers,NA,Nevada,NA,NA,21.7,NA,NA,0.832,3.21,T,T
Thamnophis couchii,16.134,EJE175,Sawmill Lk.,NA,Nevada,NA,NA,11.8,NA,NA,0.971,7.35,T,T
Thamnophis couchii,16.135,EJE176,Sawmill Lk.,NA,Nevada,NA,NA,9.1,NA,NA,0.946,3.75,T,T
Thamnophis couchii,16.136,EJE177,Milton Rivers,NA,Nevada,NA,NA,16.6,NA,NA,0.835,6,T,T
Thamnophis couchii,16.138,EJE179,Jackson Meadows Rivers,NA,Sierra,NA,NA,9.4,NA,NA,0.831,25,T,T
Thamnophis couchii,16.139,EJE180,Jackson Meadows Rivers,NA,Sierra,NA,NA,14.3,NA,NA,0.914,8.3,T,T
Thamnophis couchii,16.14,EJE181,S Fork Tuolumne River,NA,Tuolumne,NA,NA,6.9,NA,NA,1.012,NA,T,T
Thamnophis couchii,16.141,EJE182,S Fork Tuolumne River,NA,Tuolumne,NA,NA,145.8,NA,NA,0.669,47.5,T,T
Thamnophis couchii,16.145,EJE186,S Fork Tuolumne River,NA,Tuolumne,NA,NA,12.3,NA,NA,0.95,137.6,T,T
Thamnophis couchii,16.147,EJE188,S Fork Tuolumne River,NA,Tuolumne,NA,NA,5.1,NA,NA,1.187,NA,T,T
Thamnophis couchii,16.148,EJE189,Canyon Creek,NA,Nevada,NA,NA,8.4,NA,NA,0.972,22.2,T,T
Thamnophis couchii,16.68,CRF3051,Williams Creek,NA,Lassen,NA,NA,32.3,NA,NA,0.89,3.3,T,T
Thamnophis couchii,16.69,CRF3052,Williams Creek,NA,Lassen,NA,NA,9.9,NA,NA,0.828,3.3,T,T
Thamnophis couchii,16.7,CRF3053,Williams Creek,NA,Lassen,NA,NA,6.9,NA,NA,0.927,3.2,T,T
Thamnophis couchii,16.71,CRF3054,Williams Creek,NA,Lassen,NA,NA,5.7,NA,NA,0.874,2.7,T,T
Thamnophis couchii,16.72,CRF3055,Williams Creek,NA,Lassen,NA,NA,5.1,NA,NA,0.946,3.35,T,T
Thamnophis couchii,16.73,CRF3056,Williams Creek,NA,Lassen,NA,NA,19.8,NA,NA,0.81,5,T,T
Thamnophis couchii,16.74,CRF3057,Willard Creek,NA,Lassen,NA,NA,5.1,NA,NA,1.023,3.32,T,T
Thamnophis couchii,16.75,CRF3058,Willard Creek,NA,Lassen,NA,NA,43.4,NA,NA,0.635,2.41,T,T
Thamnophis couchii,16.76,CRF3059,Willard Creek,NA,Lassen,NA,NA,47.9,NA,NA,0.54,0.1,T,T
Thamnophis couchii,16.77,CRF3060,Willard Creek,NA,Lassen,NA,NA,24.3,NA,NA,0.573,3.14,T,T
Thamnophis couchii,16.78,CRF3061,Willard Creek,NA,Lassen,NA,NA,130.6,NA,NA,0.636,3.76,T,T
Thamnophis couchii,16.79,CRF3062,Willard Creek,NA,Lassen,NA,NA,87.6,NA,NA,0.846,NA,T,T
Thamnophis couchii,16.8,EJE138,Sawmill Lk.,NA,Nevada,NA,NA,7.8,NA,NA,0.741,19.8,T,T
Thamnophis couchii,16.81,EJE139,Sawmill Lk.,NA,Nevada,NA,NA,4.4,NA,NA,1.488,44.1,T,T
Thamnophis couchii,16.82,EJE140,Prairie Creek,NA,Nevada,NA,NA,64.4,NA,NA,0.746,3.91,T,T
Thamnophis couchii,16.83,EJE141,Prairie Creek,NA,Nevada,NA,NA,138.3,NA,NA,0.758,15.5,T,T
Thamnophis couchii,16.84,EJE142,Prairie Creek,NA,Nevada,NA,NA,33.7,NA,NA,0.65,2.96,T,T
Thamnophis couchii,16.85,EJE143,Prairie Creek,NA,Nevada,NA,NA,57.8,NA,NA,0.734,2.88,T,T
Thamnophis couchii,16.86,EJE144,Prairie Creek,NA,Nevada,NA,NA,54.9,NA,NA,0.786,3.27,T,T
Thamnophis couchii,16.87,EJE145,Bowman Lk.,NA,Nevada,NA,NA,6.8,NA,NA,0.991,22,T,T
Thamnophis couchii,16.89,EJE147,Bowman Lk.,NA,Nevada,NA,NA,8.4,NA,NA,0.836,3.85,T,T
Thamnophis couchii,16.9,EJE148,Bowman Lk.,NA,Nevada,NA,NA,25.1,NA,NA,0.817,4.09,T,T
Thamnophis couchii,16.91,EJE149,Bowman Lk.,NA,Nevada,NA,NA,4.1,NA,NA,1.088,6.4,T,T
Thamnophis couchii,16.92,EJE150,Bowman Lk.,NA,Nevada,NA,NA,37.8,NA,NA,0.853,3.5,T,T
Thamnophis couchii,16.94,EJE152,Faucherie Lk.,NA,Nevada,NA,NA,37.3,NA,NA,0.678,2.9,T,T
Thamnophis couchii,16.95,EJE153,Faucherie Lk.,NA,Nevada,NA,NA,29.4,NA,NA,0.935,NA,T,T
Thamnophis couchii,16.96,EJE154,Faucherie Lk.,NA,Nevada,NA,NA,17.5,NA,NA,0.819,3.2,T,T
Thamnophis couchii,16.97,EJE155,Faucherie Lk.,NA,Nevada,NA,NA,9.4,NA,NA,0.621,1.8,T,T
Thamnophis couchii,16.98,EJE156,Faucherie Lk.,NA,Nevada,NA,NA,39,NA,NA,0.693,3.15,T,T
Thamnophis couchii,16.99,EJE157,Faucherie Lk.,NA,Nevada,NA,NA,45,NA,NA,0.557,NA,T,T
Thamnophis couchii,17,NA,NA,NA,NA,NA,NA,43.3,45.6,58.5,0.745,109,T,T
Thamnophis couchii,18,NA,NA,NA,NA,NA,NA,64.9,52,69.9,1.027,120,T,T
Thamnophis couchii,19,NA,NA,NA,NA,NA,NA,37.5,45.9,63,0.859,122.6,T,T
Thamnophis couchii,20,NA,NA,NA,NA,NA,NA,44.7,49.4,67.8,0.886,161.5,T,T
Thamnophis couchii,21,NA,NA,NA,NA,NA,NA,55.8,49.3,67.1,0.938,142,T,T
Thamnophis couchii,22,NA,NA,NA,NA,NA,NA,9.1,25.5,34.2,0.965,134.9,T,T
Thamnophis couchii,3.3,EDBjr21346,Hat Creek,NA,Shasta,NA,NA,129.5,70,85.6,0.596,1.71,T,T
Thamnophis couchii,3.31,EDBjr21345,Hat Creek,NA,Shasta,NA,NA,126.3,66.6,84.4,0.632,2.21,T,T
Thamnophis couchii,3.32,EDBjr21344,Hat Creek,NA,Shasta,NA,NA,98.7,63,81.1,0.646,1.42,T,T
Thamnophis couchii,3.33,EDBjr21343,Hat Creek,NA,Shasta,NA,NA,91.6,65.6,83.6,0.551,1.44,T,T
Thamnophis couchii,3.34,EDBjr21342,Deer Creek and Beaver Creek,NA,Tehama,NA,NA,82.4,64.9,83,0.638,1.7,T,T
Thamnophis couchii,3.35,EDBjr21341,Deer Creek and Beaver Creek,NA,Tehama,NA,NA,98.5,60,77.2,0.613,2.19,T,T
Thamnophis couchii,3.36,EDBjr21340,Indian Creek,NA,Tehama,NA,NA,137.5,64.3,81.4,0.633,1.32,T,T
Thamnophis couchii,3.37,EDBjr21339,Antelope Creek,NA,Tehama,NA,NA,115.7,65.5,82.7,0.641,1.28,T,T
Thamnophis couchii,3.38,NA,Antelope Creek,NA,NA,NA,NA,156.8,67.4,86.6,0.768,2.24,T,T
Thamnophis couchii,3.39,EDBjr21338,Antelope Creek,NA,Tehama,NA,NA,147.6,67.2,85,0.702,1.97,T,T
Thamnophis couchii,3.4,EDBjr21337,Antelope Creek,NA,Tehama,NA,NA,137.2,68.7,85.2,0.819,NA,T,T
Thamnophis couchii,4.14,EDBjr21388,Keleher,NA,Nevada,NA,NA,103.8,64.2,NA,0.722,6,T,T
Thamnophis couchii,4.15,EDBjr21389,Keleher,NA,Nevada,NA,NA,202.5,74.4,NA,0.665,9.45,T,T
Thamnophis couchii,4.16,EDBjr21390,Keleher,NA,Nevada,NA,NA,67.6,57.7,NA,0.629,4.5,T,T
Thamnophis couchii,4.17,EDBjr21391,Keleher,NA,Nevada,NA,NA,147.9,71,NA,0.714,5.65,T,T
Thamnophis couchii,4.18,EDBjr21392,Keleher,NA,Nevada,NA,NA,16.5,33.7,NA,0.99,4.84,T,T
Thamnophis couchii,4.19,EDBjr21393,Keleher,NA,Nevada,NA,NA,18.5,38,NA,0.783,5.35,T,T
Thamnophis couchii,4.2,EDBjr21394,Keleher,NA,Nevada,NA,NA,8.3,26.1,NA,1.019,4.54,T,T
Thamnophis couchii,4.21,EDBjr21395,Keleher,NA,Nevada,NA,NA,6,25.3,NA,1.134,5.2,T,T
Thamnophis couchii,4.22,EDBjr21396,Keleher,NA,Nevada,NA,NA,5.4,26.1,NA,1.079,4.42,T,T
Thamnophis couchii,4.23,EDBjr21397,Keleher,NA,Nevada,NA,NA,6.5,24.8,NA,0.87,2.88,T,T
Thamnophis couchii,4.37,EDBjr21365,N Battle Creek,NA,Shasta,NA,NA,23.5,38.8,NA,0.944,3.24,T,T
Thamnophis couchii,4.38,EDBjr21366,N Battle Creek,NA,Shasta,NA,NA,117.9,65,NA,0.677,2.52,T,T
Thamnophis couchii,4.39,EDBjr21367,N Battle Creek,NA,Shasta,NA,NA,5.3,22.6,NA,1.031,3.2,T,T
Thamnophis couchii,4.4,EDBjr21368,N Battle Creek,NA,Shasta,NA,NA,62.2,55.9,NA,0.989,2.64,T,T
Thamnophis couchii,4.41,EDBjr21369,N Battle Creek,NA,Shasta,NA,NA,43.8,48.1,NA,0.777,3.81,T,T
Thamnophis couchii,4.42,EDBjr21370,N Battle Creek,NA,Shasta,NA,NA,42.5,47.3,NA,0.883,2.95,T,T
Thamnophis couchii,4.44,EDBjr21371,Riverck Creek,NA,Shasta,NA,NA,44.5,49,NA,0.756,3.1,T,T
Thamnophis couchii,4.45,EDBjr21372,Riverck Creek,NA,Shasta,NA,NA,58,52.9,NA,0.866,2.65,T,T
Thamnophis couchii,4.49,EDBjr21414,Wishon,NA,Tulare,NA,NA,58.6,59.1,NA,0.904,74.5,T,T
Thamnophis couchii,4.5,EDBjr21415,Wishon,NA,Tulare,NA,NA,57.3,52.6,NA,0.845,88,T,T
Thamnophis couchii,4.52,EDBjr21416,Coy Flat,NA,Tulare,NA,NA,75.7,57.2,NA,0.701,70.5,T,T
Thamnophis couchii,4.53,EDBjr21417,Grizzly Flat,NA,El Dorado,NA,NA,34.9,43.5,NA,0.751,47.7,T,T
Thamnophis couchii,4.54,EDBjr21418,Grizzly Flat,NA,El Dorado,NA,NA,35.6,42.3,NA,0.98,80,T,T
Thamnophis couchii,4.55,EDBjr21419,Grizzly Flat,NA,El Dorado,NA,NA,59.9,54.4,NA,0.6,18.6,T,T
Thamnophis couchii,4.56,EDBjr21420,Grizzly Flat,NA,El Dorado,NA,NA,5.6,22,NA,1.1,102,T,T
Thamnophis couchii,5.107,EDBjr21628,Dogtown Creek,NA,El Dorado,NA,NA,3.8,21.2,27.7,1.218,NA,T,T
Thamnophis couchii,5.108,EDBjr21629,Dogtown Creek,NA,El Dorado,NA,NA,8,27.8,36.3,1.295,NA,T,T
Thamnophis couchii,5.109,EDBjr21630,Dogtown Creek,NA,El Dorado,NA,NA,4.9,22,29.4,1.475,NA,T,T
Thamnophis couchii,5.139,EDBjr21945,Devil's Corral,NA,Lassen,NA,NA,13.3,33.1,43.9,0.649,NA,T,T
Thamnophis couchii,5.14,EDBjr21946,Devil's Corral,NA,Lassen,NA,NA,41.9,53,70.1,0.582,NA,T,T
Thamnophis couchii,5.141,EDBjr21947,Devil's Corral,NA,Lassen,NA,NA,16.4,36.8,49.3,0.764,NA,T,T
Thamnophis couchii,5.142,EDBjr21948,Devil's Corral,NA,Lassen,NA,NA,97.7,66.5,86,0.823,NA,T,T
Thamnophis couchii,5.143,EDBjr21949,Devil's Corral,NA,Lassen,NA,NA,53.4,53.5,66.3,0.644,NA,T,T
Thamnophis couchii,5.144,EDBjr21950,Devil's Corral,NA,Lassen,NA,NA,17.8,38.3,51.2,0.725,NA,T,T
Thamnophis couchii,5.145,EDBjr21951,Devil's Corral,NA,Lassen,NA,NA,41.1,50.2,67.7,0.603,NA,T,T
Thamnophis couchii,5.146,EDBjr21952,Devil's Corral,NA,Lassen,NA,NA,47,51.7,67.6,0.603,7.17,T,T
Thamnophis couchii,5.147,EDBjr21953,Devil's Corral,NA,Lassen,NA,NA,20.5,39,NA,0.777,5.33,T,T
Thamnophis couchii,5.148,EDBjr21954,Devil's Corral,NA,Lassen,NA,NA,15.3,35.5,43.5,0.715,7.76,T,T
Thamnophis couchii,5.149,EDBjr21955,Devil's Corral,NA,Lassen,NA,NA,27.7,43,57.6,0.665,5.55,T,T
Thamnophis couchii,5.15,EDBjr21956,Devil's Corral,NA,Lassen,NA,NA,5.4,26,NA,1.122,6.19,T,T
Thamnophis couchii,5.151,EDBjr21957,Devil's Corral,NA,Lassen,NA,NA,13,34.4,45.9,0.722,9.5,T,T
Thamnophis couchii,5.152,EDBjr21958,Devil's Corral,NA,Lassen,NA,NA,20,38.2,49.3,0.82,7.95,T,T
Thamnophis couchii,5.195,EDBjr22063,Leoni Meadows,NA,El Dorado,NA,NA,50.2,52.8,70.4,0.657,100,T,T
Thamnophis couchii,5.2,EDBjr22067,Leoni Meadows,NA,El Dorado,NA,NA,40.1,46.4,59.7,0.748,100,T,T
Thamnophis couchii,5.201,EDBjr22068,Leoni Meadows,NA,El Dorado,NA,NA,47.7,50.4,65.8,0.726,96.4,T,T
Thamnophis couchii,5.202,EDBjr22069,Dogtown Creek,NA,El Dorado,NA,NA,25.8,40.2,52.9,0.689,23.1,T,T
Thamnophis couchii,5.203,EDBjr22070,Dogtown Creek,NA,El Dorado,NA,NA,55.6,52.2,72.8,0.608,26,T,T
Thamnophis couchii,5.204,EDBjr22071,Dogtown Creek,NA,El Dorado,NA,NA,44.8,47.4,NA,0.605,31.3,T,T
Thamnophis couchii,5.205,EDBjr22072,Dogtown Creek,NA,El Dorado,NA,NA,33.3,46.5,64.9,0.703,NA,T,T
Thamnophis couchii,5.206,EDBjr22073,Dogtown Creek,NA,El Dorado,NA,NA,90.8,64.7,83.6,0.608,NA,T,T
Thamnophis couchii,5.207,EDBjr22074,Dogtown Creek,NA,El Dorado,NA,NA,15.3,35.5,48.7,0.853,20,T,T
Thamnophis couchii,5.248,EDBjr22329,Pollock Pines,NA,El Dorado,NA,NA,20.2,40.6,52.9,0.536,61,T,T
Thamnophis couchii,5.273,EDBjr22350,Pollock Pines,NA,El Dorado,NA,NA,34.2,46.5,62.4,0.57,43.8,T,T
Thamnophis couchii,5.62,EDBjr21587,Wishon,NA,Tulare,NA,NA,46.6,49,67.4,0.579,NA,T,T
Thamnophis couchii,5.63,NA,Deep Creek,NA,Fresno,NA,NA,5.7,23.5,31.6,0.847,NA,T,T
Thamnophis couchii,5.64,EDBjr21589,Deep Creek,NA,Fresno,NA,NA,6.6,24.2,33.1,1.061,NA,T,T
Thamnophis couchii,5.65,EDBjr21590,Deep Creek,NA,Fresno,NA,NA,19.1,37.8,50.2,0.77,NA,T,T
Thamnophis couchii,5.66,EDBjr21591,Deep Creek,NA,Fresno,NA,NA,35.4,42.2,55.6,0.848,93.5,T,T
Thamnophis couchii,5.67,EDBjr21592,Deep Creek,NA,Fresno,NA,NA,46.7,45.8,NA,0.815,NA,T,T
Thamnophis couchii,5.68,EDBjr21593,Deep Creek,NA,Fresno,NA,NA,5.3,25.2,33.9,1.136,NA,T,T
Thamnophis couchii,5.69,EDBjr21594,Deep Creek,NA,Fresno,NA,NA,12.2,32.7,44.4,0.749,NA,T,T
Thamnophis couchii,5.7,EDBjr21595,Deep Creek,NA,Fresno,NA,NA,5.6,23.7,31.9,0.938,NA,T,T
Thamnophis couchii,5.71,EDBjr21596,Deep Creek,NA,Fresno,NA,NA,3.9,19.3,25.6,1.342,NA,T,T
Thamnophis couchii,5.73,EDBjr21598,Deep Creek,NA,Fresno,NA,NA,10.8,33,41.1,1.142,NA,T,T
Thamnophis couchii,5.74,EDBjr21599,Deep Creek,NA,Fresno,NA,NA,38.6,48.2,63.3,0.649,NA,T,T
Thamnophis couchii,5.77,EDBjr21602,Deep Creek,NA,Fresno,NA,NA,24.3,39.6,53.9,0.754,NA,T,T
Thamnophis couchii,5.78,EDBjr21603,Deep Creek,NA,Fresno,NA,NA,29.4,45.3,59.5,0.78,86.9,T,T
Thamnophis couchii,5.79,EDBjr21604,Deep Creek,NA,Fresno,NA,NA,25.6,41.8,56.2,0.871,NA,T,T
Thamnophis couchii,5.8,EDBjr21605,Deep Creek,NA,Fresno,NA,NA,7.1,22.7,30.1,0.982,NA,T,T
Thamnophis couchii,5.81,NA,Smith River,NA,NA,NA,NA,81,55.3,72.2,0.836,2.23,T,T
Thamnophis couchii,5.82,NA,Smith River,NA,NA,NA,NA,27.8,44.3,59.5,0.669,4.22,T,T
Thamnophis couchii,5.83,NA,Smith River,NA,NA,NA,NA,27.8,41.9,54,0.762,3.96,T,T
Thamnophis couchii,5.84,NA,Smith River,NA,NA,NA,NA,3.3,21,27.1,1.164,3.13,T,T
Thamnophis couchii,5.85,NA,Smith River,NA,NA,NA,NA,3.3,20.2,28.9,1.129,4.47,T,T
Thamnophis couchii,5.86,NA,Smith River,NA,NA,NA,NA,23.6,40.5,54.5,0.793,NA,T,T
Thamnophis couchii,6.126,EDBjr22736,Leoni Meadows,NA,El Dorado,NA,NA,83.4,62.1,82.5,0.467,25,T,T
Thamnophis couchii,6.127,NA,Leoni Meadows,NA,NA,NA,NA,112.9,63,81.1,0.689,NA,T,T
