,species,INDIV,CollPreNo,locality,region,County,sex,age,mass_g,SVL_cm,TL_cm,baseline_ms,MAMU
459,Thamnophis couchii,SS6,NA,NA,NA,Tulare,NA,NA,3.84,20.7,26.4,1.5,NA
460,Thamnophis couchii,SS7,NA,NA,NA,Tulare,NA,NA,2.85,18.7,25,1.432,80.2
461,Thamnophis couchii,SS8,NA,NA,NA,Tulare,NA,NA,3.32,20.1,25.8,1.441,NA
462,Thamnophis couchii,SS9,NA,NA,NA,Tulare,NA,NA,3.51,20.3,26.2,1.451,NA
463,Thamnophis couchii,SZ1,NA,NA,NA,Tulare,NA,NA,3.74,19.3,26.2,1.175,93.7
464,Thamnophis couchii,SZ10,NA,NA,NA,Tulare,NA,NA,3.45,19.3,26,1.35,86.4
465,Thamnophis couchii,SZ11,NA,NA,NA,Tulare,NA,NA,3.25,19,24.8,1.122,59
466,Thamnophis couchii,SZ12,NA,NA,NA,Tulare,NA,NA,3.4,18.7,25.2,1.334,84.7
467,Thamnophis couchii,SZ2,NA,NA,NA,Tulare,NA,NA,3.2,17.5,23.2,1.469,84.2
468,Thamnophis couchii,SZ3,NA,NA,NA,Tulare,NA,NA,2.98,18.7,24.3,1.396,NA
469,Thamnophis couchii,SZ4,NA,NA,NA,Tulare,NA,NA,3.17,18.6,25.3,1.358,64
470,Thamnophis couchii,SZ5,NA,NA,NA,Tulare,NA,NA,3.25,18.8,24.8,1.213,NA
471,Thamnophis couchii,SZ6,NA,NA,NA,Tulare,NA,NA,3.52,18.9,25.5,1.304,NA
472,Thamnophis couchii,SZ7,NA,NA,NA,Tulare,NA,NA,3.49,19.3,26,1.263,75.9
473,Thamnophis couchii,SZ8,NA,NA,NA,Tulare,NA,NA,3.63,19.5,26.1,1.199,57.4
474,Thamnophis couchii,SZ9,NA,NA,NA,Tulare,NA,NA,3.65,19.2,25.8,1.397,81.8
475,Thamnophis couchii,TT1,NA,NA,NA,NA,NA,NA,4.05,20.9,27.2,1.016,NA
477,Thamnophis couchii,TT3,NA,NA,NA,NA,NA,NA,5.1,22.8,30.3,1.006,82.5
479,Thamnophis couchii,TT5,NA,NA,NA,NA,NA,NA,5.29,22.1,29.4,1.006,NA
480,Thamnophis couchii,TT6,NA,NA,NA,NA,NA,NA,4.93,21.4,28.9,1.014,NA
481,Thamnophis couchii,TT7,NA,NA,NA,NA,NA,NA,4.21,19.8,26.5,1.021,73.6
482,Thamnophis couchii,UC1,NA,NA,NA,Lassen,NA,NA,6.08,22.7,29.5,1.147,4.98
483,Thamnophis couchii,UC10,NA,NA,NA,Lassen,NA,NA,7.3,22.2,29.4,1.214,5.12
484,Thamnophis couchii,UC2,NA,NA,NA,Lassen,NA,NA,5.11,22.1,29.6,1.115,1.53
485,Thamnophis couchii,UC3,NA,NA,NA,Lassen,NA,NA,6.24,21.3,28.9,1.389,3.45
486,Thamnophis couchii,UC4,NA,NA,NA,Lassen,NA,NA,6.19,23.4,31.1,1.178,3.92
487,Thamnophis couchii,UC5,NA,NA,NA,Lassen,NA,NA,6.99,22.5,29.8,1.401,NA
488,Thamnophis couchii,UC6,NA,NA,NA,Lassen,NA,NA,6.92,22.8,29.7,1.408,3.34
489,Thamnophis couchii,UC7,NA,NA,NA,Lassen,NA,NA,6.12,22.6,30.5,1.315,NA
490,Thamnophis couchii,UC8,NA,NA,NA,Lassen,NA,NA,5.98,21.3,28.3,1.379,4.48
491,Thamnophis couchii,UC9,NA,NA,NA,Lassen,NA,NA,6.85,23.5,23.1,1.109,NA
492,Thamnophis couchii,UG1,NA,NA,NA,NA,NA,NA,3.91,19.6,26.3,1.17,77.3
493,Thamnophis couchii,UG10,NA,NA,NA,NA,NA,NA,3.75,18.6,25.2,1.094,NA
494,Thamnophis couchii,UG11,NA,NA,NA,NA,NA,NA,3.66,18.8,24.5,1.156,61.3
495,Thamnophis couchii,UG12,NA,NA,NA,NA,NA,NA,3.22,17.7,23.7,1.11,NA
497,Thamnophis couchii,UG2,NA,NA,NA,NA,NA,NA,3.89,19,25.4,1.119,64.9
498,Thamnophis couchii,UG3,NA,NA,NA,NA,NA,NA,3.46,18.5,24.8,1.089,NA
499,Thamnophis couchii,UG4,NA,NA,NA,NA,NA,NA,3.72,19.5,25.9,1.066,67.7
500,Thamnophis couchii,UG5,NA,NA,NA,NA,NA,NA,3.7,19.1,25.6,1.111,54.2
501,Thamnophis couchii,UG6,NA,NA,NA,NA,NA,NA,3.23,18.5,24.5,1.092,64.5
502,Thamnophis couchii,UG7,NA,NA,NA,NA,NA,NA,3.05,18.3,23.6,1.234,70.6
503,Thamnophis couchii,UG8,NA,NA,NA,NA,NA,NA,3.52,18.2,24,1.24,61
504,Thamnophis couchii,UG9,NA,NA,NA,NA,NA,NA,3.76,19.3,25.9,1.045,76
505,Thamnophis couchii,UM1,NA,NA,NA,NA,NA,NA,4.15,19.3,25.8,1.245,112.4
506,Thamnophis couchii,UM10,NA,NA,NA,NA,NA,NA,4.23,20.5,27.7,1.045,86.9
507,Thamnophis couchii,UM11,NA,NA,NA,NA,NA,NA,4.36,20.7,28,1.051,90.8
509,Thamnophis couchii,UM2,NA,NA,NA,NA,NA,NA,4.66,20.6,27.4,1.113,113.4
510,Thamnophis couchii,UM3,NA,NA,NA,NA,NA,NA,4.39,20.3,26.8,1.121,147.4
511,Thamnophis couchii,UM4,NA,NA,NA,NA,NA,NA,4.24,20.4,27.6,1.227,121
512,Thamnophis couchii,UM5,NA,NA,NA,NA,NA,NA,3.46,19.5,26.2,1.234,97.1
515,Thamnophis couchii,UM8,NA,NA,NA,NA,NA,NA,4.44,20.6,27.4,1.188,107.6
516,Thamnophis couchii,UM9,NA,NA,NA,NA,NA,NA,4.39,20.5,27.2,1.041,100
517,Thamnophis couchii,VC1,EDBjr21489,Wishon,NA,Tulare,NA,NA,5.6,18.6,25.4,1.324,40.7
518,Thamnophis couchii,VC10,EDBjr21498,Wishon,NA,Tulare,NA,NA,4.4,18,24.7,1.415,98.6
519,Thamnophis couchii,VC11,EDBjr21499,Wishon,NA,Tulare,NA,NA,5.4,18.8,25.9,1.486,NA
520,Thamnophis couchii,VC12,EDBjr21500,Wishon,NA,Tulare,NA,NA,4.3,18.2,25.2,1.301,86
521,Thamnophis couchii,VC2,EDBjr21490,Wishon,NA,Tulare,NA,NA,4.8,19.3,26.4,1.531,74.5
522,Thamnophis couchii,VC3,EDBjr21491,Wishon,NA,Tulare,NA,NA,4.5,18.8,26,1.383,45.8
523,Thamnophis couchii,VC4,EDBjr21492,Wishon,NA,Tulare,NA,NA,5,19.1,25.9,1.442,NA
524,Thamnophis couchii,VC5,EDBjr21493,Wishon,NA,Tulare,NA,NA,4.8,18.5,25.8,1.638,NA
525,Thamnophis couchii,VC7,EDBjr21495,Wishon,NA,Tulare,NA,NA,4.9,18.7,25.5,1.417,74
526,Thamnophis couchii,VC8,EDBjr21496,Wishon,NA,Tulare,NA,NA,5.5,18.8,26,1.412,69
527,Thamnophis couchii,VC9,EDBjr21497,Wishon,NA,Tulare,NA,NA,4.3,18.8,25.8,1.242,63.2
538,Thamnophis couchii,ZB03,NA,Dogtown Creek,NA,El Dorado,NA,NA,5.45,23.7,30.9,1.016,NA
