"","X","x0","dx","maxslope","range.10.90","Snake","Muscle","Species","Genotype","MAMU","Long","Lat","SVLmm","MusMassg","BodMassg","Sex","DtExp","DtColl","DInBet"
"1","CRF2630_M1",2.15615431935748e-32,863.963717778809,-2.88816386195521e-05,Inf,"CRF2630","M1","couchii","T",100,-119.247356,36.934489,NA,71,"6.8","","15-Dec-15","6-Apr-15","253"
"2","CRF2631_M1",145392587.898029,10638466.7607633,-2.34996269313825e-09,Inf,"CRF2631","M1","couchii","T",175,-119.247356,36.934489,NA,80.6,"22.8","","17-Dec-15","6-Apr-15","255"
"3","CRF2633_M1",3.73270363850091e-27,2655.67957065055,-9.41245545956325e-06,Inf,"CRF2633","M1","couchii","T",100,-119.247356,36.934489,NA,19.9,NA,"","22-Jun-15","6-Apr-15","77"
"4","CRF2633_M3",2.48230624583772e-31,954.07934279844,-2.61651953421292e-05,Inf,"CRF2633","M3","couchii","T",100,-119.247356,36.934489,NA,8.5,NA,"","22-Jun-15","6-Apr-15","77"
"5","CRF2669_M1",0.0758826724872212,-75274.8082782657,3.32116421755647e-07,Inf,"CRF2669","M1","couchii","T",82.5,-120.658378,39.442691,NA,39.5,"19.9","","21-Oct-15","30-May-15","144"
"6","CRF2670_M1",2.51154692219279e-23,74.735236803278,-0.000293923107895467,5.19375198388318e+48,"CRF2670","M1","couchii","T",82,-120.658378,39.442691,NA,12.3,"7.2","","9-Nov-15","30-May-15","163"
"7","CRF2671_M1",9.90085530030005e-28,190.161992246741,-0.000127759001489991,2.85975873310901e+154,"CRF2671","M1","couchii","T",17,-120.658378,39.442691,NA,170,"50.9","","10-Dec-15","30-May-15","194"
"8","CRF2672_M1",128076826.016872,29395344.4468614,-8.50474810567065e-10,Inf,"CRF2672","M1","couchii","T",32,-120.658378,39.442691,NA,40,"10.8","","19-Oct-15","30-May-15","142"
"9","CRF2673_M1",1.72570807438743e-23,92.2732212502913,-0.000248446767154276,1.94087484374732e+65,"CRF2673","M1","couchii","T",21.8,-120.658378,39.442691,NA,59.5,"22.4","","2-Nov-15","30-May-15","156"
"10","CRF2674_M1",0.326980913530671,-651549.03303734,3.83700976168819e-08,Inf,"CRF2674","M1","couchii","T",21.9,-120.658378,39.442691,NA,26.6,"5","","28-Sep-15","30-May-15","121"
"11","CRF2675_M1",131279174.649125,11295342.774228,-2.21330157921617e-09,Inf,"CRF2675","M1","couchii","T",33.7,-120.658378,39.442691,NA,11.1,"4.7","","7-Oct-15","30-May-15","130"
"12","CRF2676_M1",5.40603169356272e-30,305.174761965537,-8.08613995838066e-05,8.78232011414476e+261,"CRF2676","M1","couchii","T",21.3,-120.658378,39.442691,NA,56.2,"20.6","","14-Dec-15","30-May-15","198"
"13","CRF2678_M1",59.8105086260255,-0.287279639202766,0.0158163166734654,80.6218815098717,"CRF2678","M1","couchii","T",36.5,-120.658378,39.442691,NA,62.8,NA,"","14-Oct-15","30-May-15","137"
"14","CRF2679_M1",5.63329881453901e-30,494.537680861791,-5.03023987632354e-05,Inf,"CRF2679","M1","couchii","T",35.7,-120.658378,39.442691,NA,16,"11.4","","4-Nov-15","30-May-15","158"
"15","CRF2680_M1",1.24344021167027,-558924.543795464,4.4728756819564e-08,Inf,"CRF2680","M1","couchii","T",40.8,-120.658378,39.442691,NA,84,"7.9","","26-Oct-15","30-May-15","149"
"16","CRF3051_M1",1.78961407423485e-24,-64.9527529475312,0.000319395820842387,1.71173824534122e+38,"CRF3051","M1","couchii","T",3.3,-120.77225,40.39627,NA,70.1,"32.3","","9-Oct-16","16-Jul-16","85"
"17","CRF3051_M2",1.91106771598941e-30,729.206780306012,-3.42033117126325e-05,Inf,"CRF3051","M2","couchii","T",3.3,-120.77225,40.39627,NA,62.8,"32.3","","9-Oct-16","16-Jul-16","85"
"18","CRF3052_M1",1.92872777742861e+22,66.2827480724403,-0.000329975658349444,3.42836291301809e+85,"CRF3052","M1","couchii","T",3.3,-120.77225,40.39627,NA,40.7,"9.9","","18-Oct-16","16-Jul-16","94"
"19","CRF3055_M1",54438558.4986837,7897840.29650776,-3.16542232577561e-09,Inf,"CRF3055","M1","couchii","T",3.35,-120.77225,40.39627,NA,9.3,"5.1","","4-Oct-16","16-Jul-16","80"
"20","CRF3056_M1",4.08650433709595e-33,310.877079051452,-7.92005208040553e-05,1.83432381867224e+264,"CRF3056","M1","couchii","T",5,-120.77225,40.39627,NA,25.2,"19.8","","19-Oct-16","16-Jul-16","95"
"21","CRF3058_M1",2.38152905663094e-14,-4861.50537034485,5.14237839605468e-06,Inf,"CRF3058","M1","couchii","T",2.41,-120.80296,40.36777,"470",70.9,"41","","25-Feb-17","17-Jul-16","223"
"22","CRF3059_M1",1.72371775786155e-20,-224.343815502699,0.000110180380041076,2.06476979439668e+194,"CRF3059","M1","couchii","T",0.1,-120.80296,40.36777,"540",99.9,"71","","27-Apr-17","17-Jul-16","284"
"23","CRF3060_M1",8.59908092791734e-40,-146.815265079225,0.000154520419021463,1.07601669427772e+101,"CRF3060","M1","couchii","T",3.14,-120.80296,40.36777,NA,67.4,"24.3","","28-Oct-16","17-Jul-16","103"
"24","CRF3061_M1",0.0369813875966757,-65257.267593202,3.83099091886895e-07,Inf,"CRF3061","M1","couchii","T",3.76,-120.80296,40.36777,"720",220.9,"133","","23-Mar-17","17-Jul-16","249"
"25","CRF3064_M1",7.18430249351622e-23,-103.465562584519,0.000226284482038383,3.86921347087459e+76,"CRF3064","M1","couchii","T",69,-119.90284,38.04029,NA,103.5,"48.8","F","16-Nov-16","23-Jul-16","116"
"26","CRF3065_M1",36.501453994896,-0.544753552438684,0.01715987411021,109.791880477772,"CRF3065","M1","couchii","T",85.3,-119.90284,38.04029,NA,99,"59.4","","9-Nov-16","23-Jul-16","109"
"27","CRF3066_M1",6.0076504457597e-22,-94.4503056059894,0.000246181677439366,8.07609267898353e+68,"CRF3066","M1","couchii","T",122.8,-119.90284,38.04029,NA,54.7,"62.7","","27-Nov-16","23-Jul-16","127"
"28","CRF3069_M1",2.98330921911448e+22,121.690218628021,-0.000197187645366903,3.95073471022073e+138,"CRF3069","M1","couchii","T",37.8,-119.902411,38.04301,"500",64.9,"48","","28-Feb-17","23-Jul-16","220"
"29","CRF3069_M3",1.4518146298815e+22,73.7528102264093,-0.000304513635853308,3.46719188183571e+92,"CRF3069","M3","couchii","T",37.8,-119.902411,38.04301,"500",100.5,"48","","28-Feb-17","23-Jul-16","220"
"30","CRF3070_M1",5.86104281584883e-33,3252.39650157247,-7.68557608814809e-06,Inf,"CRF3070","M1","couchii","T",58.8,-119.902411,38.04301,"490",56.6,"42","","13-Apr-17","23-Jul-16","264"
"31","CRF3074_M1",3.73912914672951e-18,-192.99694313547,0.000127983016279851,5.47845119824899e+166,"CRF3074","M1","couchii","T",21.9,-119.902411,38.04301,NA,33.1,"25.8","","29-Nov-16","23-Jul-16","129"
"32","EJE182_M1",1.59456039123765e+22,49.856410281681,-0.000398125851535334,5.99441809920817e+69,"EJE182","M1","couchii","T",47.5,-119.919969,37.817948,"770",238.9,"190","","16-Apr-17","10-Sep-16","218"
"33","EJE186_M1",6.99651501750458e+21,226.461987725997,-0.000109163303357623,8.80110558017175e+237,"EJE186","M1","couchii","T",137.6,-119.918561,37.821434,"370",62.8,"30","","25-Feb-17","10-Sep-16","168"
