"","Dose","CRF2673_M1"
"1",0,0
"2",10,0.0121529319025296
"3",20,0.0146467429087831
"4",30,0.0115737488272
"5",40,0.0103547634142547
"6",50,0.0102809631240191
"7",60,0.0132585787680151
"8",70,0.0270358849716331
"9",80,0.0436784780015639
"10",90,0.117954981077726
"11",100,0.158445892041115
"12",200,0.46161882419974
"13",300,1
"14",400,0.473943872796225
"15",500,0.476405878521171
"16",600,0.50018360635213
