"","X","x0","dx","maxslope","range.10.90","Snake","Muscle","Species","Genotype","MAMU","Long","Lat","SVLmm","MusMassg","BodMassg","Sex","DtExp","DtColl","DInBet"
"1","CRF2630_M1",3.03922164728453e-31,434.81342197318,-5.70973724612293e-05,Inf,"CRF2630","M1","couchii","T",100,-119.247356,36.934489,NA,71,"6.8","","15-Dec-15","6-Apr-15","253"
"2","CRF2631_M1",3.56861039543639e-26,259.993010396829,-9.48495465943073e-05,4.45534986996233e+222,"CRF2631","M1","couchii","T",175,-119.247356,36.934489,NA,80.6,"22.8","","17-Dec-15","6-Apr-15","255"
"3","CRF2633_M1",3.85219450624652e-33,568.180378181898,-4.37990210952691e-05,Inf,"CRF2633","M1","couchii","T",100,-119.247356,36.934489,NA,19.9,NA,"","22-Jun-15","6-Apr-15","77"
"4","CRF2633_M3",1.75357032377128e-28,101.956611421884,-0.000221062949711475,3.42969834846425e+69,"CRF2633","M3","couchii","T",100,-119.247356,36.934489,NA,8.5,NA,"","22-Jun-15","6-Apr-15","77"
"5","CRF2669_M1",470112.394730881,2191900.83379989,-1.14056254801041e-08,Inf,"CRF2669","M1","couchii","T",82.5,-120.658378,39.442691,NA,39.5,"19.9","","21-Oct-15","30-May-15","144"
"6","CRF2670_M1",5.2088854104059e-22,56.6570519764987,-0.000361849615021376,6.04383026404338e+32,"CRF2670","M1","couchii","T",82,-120.658378,39.442691,NA,12.3,"7.2","","9-Nov-15","30-May-15","163"
"7","CRF2671_M1",5.41659630244881e-22,53.0466243985107,-0.000376337514786282,2.25460492971593e+29,"CRF2671","M1","couchii","T",17,-120.658378,39.442691,NA,170,"50.9","","10-Dec-15","30-May-15","194"
"8","CRF2672_M1",7.50831727060966e-32,631.897250224113,-3.94281705758677e-05,Inf,"CRF2672","M1","couchii","T",32,-120.658378,39.442691,NA,40,"10.8","","19-Oct-15","30-May-15","142"
"9","CRF2673_M1",4.90501723831239e-23,54.131933645148,-0.000364633165367299,2.21632140252804e+29,"CRF2673","M1","couchii","T",21.8,-120.658378,39.442691,NA,59.5,"22.4","","2-Nov-15","30-May-15","156"
"10","CRF2674_M1",7.64296200287591e-30,443.832061707245,-5.59852329305083e-05,Inf,"CRF2674","M1","couchii","T",21.9,-120.658378,39.442691,NA,26.6,"5","","28-Sep-15","30-May-15","121"
"11","CRF2675_M1",1.03507467686028e-26,99.2209561717226,-0.000228789330075357,4.96393275908639e+68,"CRF2675","M1","couchii","T",33.7,-120.658378,39.442691,NA,11.1,"4.7","","7-Oct-15","30-May-15","130"
"12","CRF2676_M1",1.23112945168201e-24,84.0023627594978,-0.000265450622519825,1.77390010446962e+56,"CRF2676","M1","couchii","T",21.3,-120.658378,39.442691,NA,56.2,"20.6","","14-Dec-15","30-May-15","198"
"13","CRF2678_M1",446024.11879485,3150727.64423423,-7.9346750410742e-09,Inf,"CRF2678","M1","couchii","T",36.5,-120.658378,39.442691,NA,62.8,NA,"","14-Oct-15","30-May-15","137"
"14","CRF2679_M1",1.05690215390956e-29,118.929044831261,-0.000193456787720271,3.24477784473613e+84,"CRF2679","M1","couchii","T",35.7,-120.658378,39.442691,NA,16,"11.4","","4-Nov-15","30-May-15","158"
"15","CRF2680_M1",7.61195509056593e-26,174.258652106951,-0.000139276355799176,1.46726884255705e+141,"CRF2680","M1","couchii","T",40.8,-120.658378,39.442691,NA,84,"7.9","","26-Oct-15","30-May-15","149"
"16","CRF2681_M1",1.56907519432584e-28,113.416312953696,-0.000202605917989503,2.64430070592846e+80,"CRF2681","M1","couchii","WT",20.6,-120.658378,39.442691,NA,46.3,"18.2","","28-Oct-15","30-May-15","151"
