"","Dose","CRF2630_M1","CRF2631_M1","CRF2633_M1","CRF2633_M3","CRF2669_M1","CRF2670_M1","CRF2671_M1","CRF2672_M1","CRF2673_M1","CRF2674_M1","CRF2675_M1","CRF2676_M1","CRF2678_M1","CRF2679_M1","CRF2680_M1","CRF3051_M1","CRF3051_M2","CRF3052_M1","CRF3055_M1","CRF3056_M1","CRF3058_M1","CRF3059_M1","CRF3060_M1","CRF3061_M1","CRF3064_M1","CRF3065_M1","CRF3066_M1","CRF3069_M1","CRF3069_M3","CRF3070_M1","CRF3074_M1","EJE182_M1","EJE186_M1"
"1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2",10,0.0177866634316263,0.0208786313016285,0.0629933407216727,0.1457852463382,0.0895951539642229,0.0204913060794295,0.0434200799593664,0.0235379252967148,0.022501659301384,0.048872070185729,0.0354015565653362,0.0393710048023546,0.0151879900004623,0.029755902202993,0.0678886167416307,0.012509722799685,0.0832325266600362,0.0242652273720416,0.0806429792918088,0.0468567287867198,0.0683807131310242,0.0189334850223526,0.116657726690005,0.0956158047344683,0.013694506207885,0.0322181498672576,0.0858791169199135,0.118832215048205,0.0788615361254165,0.0205939544194883,0.0328154502318558,0.0292977772986051,0.0208239541228641
"3",20,0.0161285552770883,0.0173093131897891,0.0563426625776704,0.127117982962862,0.0902714957398519,0.0220219412604267,0.0453420755435792,0.0158892276947598,0.0195589715427331,0.0478538747849395,0.0299741110407264,0.0407162621115509,0.0158719356842936,0.0219472979319184,0.0502919112056702,0.466394485596388,0.0816520442608972,0.0618885600411407,0.0855563386944166,0.0545508423752891,0.0608657591418947,0.131089758389502,0.516542264887456,0.0817069510513767,0.221956707995805,0.0628181175202474,0.384619235059505,0.198816834062155,0.104416704126569,0.0195386447486574,0.0315096564752414,0.0357702864831769,0.0477744709992639
"4",30,0.0161736424285679,0.157286597862655,0.0599095864857714,0.133564974569362,0.139676747617561,0.0257411061540249,0.0467073604531093,0.129188360356671,0.0173914041635508,0.0421114501843463,0.0362316869601799,0.0461633178737371,0.153289476632078,0.0208483036496033,0.0683308387205222,0.335553403238599,0.0724512959428434,0.0909378854605793,0.0678861545229889,0.0509918415732999,0.101604390699031,0.459820599212358,0.760897548722072,0.089572225929215,0.196088742686172,0.566503629419382,0.560488346147284,0.264849612766089,0.303424848633948,0.0189635804628406,0.47881453487308,0.527628780579038,0.331360276063537
"5",40,0.014256265153307,0.199537109425978,0.222151935743126,0.131223476377689,0.132194848086576,0.0360771869383341,0.0350201454025974,0.0645396827413816,0.020127879962967,0.0441537425350347,0.08675962666523,0.0679364613704684,0.0270380661180131,0.026457239287874,0.0476610909032084,0.868398968299072,0.0813243263315815,0.639479745839949,0.0774105643380325,0.0845887582421708,0.26005311546793,0.553966804766043,0.729313130214696,0.10213472684658,0.897028402588604,0.566956767814239,0.823511983461539,0.396918671451253,0.65792387781297,0.0411465202116557,0.289289722540105,0.592597116282661,0.449722927175785
"6",50,0.153015534927918,0.480827307617869,0.070238794751827,0.119666444382194,0.388012474617849,0.021228259342258,0.167642632637944,0.280803640315506,0.0198292215691626,0.194541624888574,0.158927685028321,0.119837040749854,0.381356595920068,0.149701570134679,0.0612047783326982,0.811601898386841,0.163764257787669,0.484897018318994,0.358718599243813,0.050069232153257,0.427744840753062,0.626922937289503,0.826583112550532,0.129923027804197,0.817218115752805,0.726346823719953,0.75237935283144,0.462924356907139,0.704162538636188,0.143086644433059,0.792739186791486,0.751465289751096,0.525509948556584
"7",60,0.100994115331694,0.293554960422269,0.269756595976358,0.194265328521258,0.328557195616723,0.041178634842154,0.162885028246109,0.314436198748434,0.0369202779884591,0.182624979010878,0.4900282417289,0.177516129531059,0.577183309430923,0.0505900845693578,0.130497764122877,0.872975204001837,0.177072000885183,0.748390467131162,0.168704193422393,0.174033630074566,0.528920028663396,0.635597991930416,0.828591961744678,0.335259543823639,0.94810497546448,0.678664199059587,0.808603008262738,0.566792262213477,0.708055510475119,0.218953235611438,0.78572198870957,0.767989706326695,0.558419056693934
"8",70,0.32688997677632,0.575316989228376,0.235438108798361,0.185846713823531,0.561857235906385,0.0259717536022932,0.236324184134558,0.494622185872268,0.0333456649979484,0.465359069528274,0.332678598618729,0.436853412906699,0.631026469231386,0.459141015269254,0.222673508726259,0.861841810697524,0.616240815831414,0.840472930291308,0.414603676083274,0.165721295528158,0.536790862794572,0.754729063389789,0.853115895937758,0.536047379502693,0.951411097973306,0.76405487617825,0.771140678224032,0.635567968843727,0.695722304657879,0.39613788334826,0.888195024796539,0.821550843631235,0.57650505815261
"9",80,0.546416336089351,0.459796843264226,0.489989185447139,0.349919258757688,0.642745176498363,0.171759155734851,0.383735697571889,0.493905058682363,0.365441395713975,0.666462481650302,0.737629290641523,0.296826160970593,0.798404288847071,0.267720967714972,0.976682549418375,0.882757755637787,0.486782587800717,0.884509932816142,0.440946464213085,0.270426922325037,0.58564559956513,0.848889894703766,0.837053566390003,0.733971370686577,0.948651631470677,0.789709459522141,0.818851126344701,0.664056366661927,0.729127939464189,0.54085565632829,0.876371350430783,0.849772593269394,0.58968899821791
"10",90,0.490949995100518,0.657095667962606,0.627888103085636,0.563311572792217,0.689086785126107,0.11826153549676,0.392645496275308,0.63066288522713,0.132282348990151,0.684540015217881,0.60245719624942,0.630243493109726,0.741317313311639,0.804148025675881,0.682622911817811,0.894931694278191,0.697462287929309,0.845690330423254,0.649521868069625,0.516171141749419,0.650137089573729,0.857957517496221,0.892766868116928,0.760783969690393,0.963909915491842,0.815651343256512,0.817152787481275,0.686776057801686,0.737348480264126,0.648856560348483,0.872075108866778,0.85771742989547,0.623672060349713
"11",100,0.695940477817109,0.532378040256703,0.552051369392623,0.563802114035268,0.696254033186311,0.266655609819946,0.410063674994008,0.631655539410667,0.401657655038313,0.806109396313424,0.791243670683455,0.515029146823861,0.831403200987571,0.527419257898376,0.974981725312798,0.902222517484815,0.622220869705923,0.873665471522707,0.711321264095679,0.402936191259616,0.638463370090688,0.866855589858679,0.880517822693179,0.751271323933307,0.96404038741876,0.825039032256452,0.843221958908267,0.687105884800178,0.761547867586783,0.696219755603299,0.892818357644711,0.867011297950192,0.631686508569788
"12",200,0.811208741680351,0.700608720699575,0.895856159445978,0.900441957223423,0.704862861121404,0.474433653303587,0.667334759044693,0.707493213910954,0.380193311646545,0.964949425804608,0.729572096770841,0.708499917274597,0.809492417384654,0.785247423389339,0.919331495865484,0.913633800684498,0.591011820528474,0.88516438521857,0.83037808266983,0.775536790570269,0.636956678137305,0.899598991173907,0.896289487296235,0.720136893543584,0.97468345332943,0.861760854108769,0.850273790724909,0.712318305157748,0.702580916930566,0.792273652062873,0.910965957758169,0.877750006269587,0.634397367931093
"13",300,0.991142410024116,0.866925304735403,0.899643491127152,0.92992619679986,0.825760945607794,0.79084918299884,0.800060264253359,0.856398480496191,0.863509274006183,0.982723660945511,0.93154134332351,0.774999846112876,0.900587076879298,0.890334234886394,0.968454326995953,0.920331225976678,0.617924610723288,0.912203935856795,0.975463067042262,0.971880595541934,0.898116543731479,0.935853743004925,0.944132867029046,0.912718115267479,0.994281410421661,0.902785330567329,0.893079194859843,0.810281808383858,0.79389572003198,0.915069448257675,0.949558588356252,0.919149402557036,0.666267739138114
"14",400,0.986805078200109,0.935892441886129,0.974319040859222,0.901356618960914,0.944565949243802,0.902325390382635,0.879970177952881,0.932494649344668,1,1,0.971490804965751,0.869887838566934,0.922776543905268,0.959869755578599,0.976184097164893,0.937250571520386,0.860248712557782,0.904809176402523,0.98895663131383,0.994055928569206,0.987516185546042,0.971519723356009,0.917917680432275,0.95351886415925,0.995175509529001,0.944892467342156,0.90089196531676,0.919781241413228,0.919609492065322,0.968326118584915,0.974492924779411,0.960976854627385,0.793366125804151
"15",500,0.998517545881544,0.95035511823842,0.99145567662742,1,0.947506845120106,0.943209720083571,0.944870653729797,0.966624953998085,0.971709060508602,0.991363134375229,0.952735999716064,0.918978149193978,0.944610314101703,1,0.980184863565412,1,0.97727677964946,1,1,0.995990871904326,1,0.984002257333934,1,0.962429301247435,0.993069753780978,0.951385357850265,1,0.905906743936224,0.976806836834121,0.989823344649835,0.954763192905281,0.981793542726936,0.902601965874023
"16",600,1,1,1,0.96066441895682,1,1,1,1,0.996255515415371,0.997746554753905,1,1,1,0.967475061458218,1,0.993923600837768,1,0.93409074359179,0.987207299841851,1,0.956524676453685,1,0.964431990075215,1,1,1,0.947047505393067,1,1,1,1,1,1
