"","X","x0","dx","maxslope","range.10.90","Snake","Muscle","Species","Genotype","MAMU","Long","Lat","SVLmm","MusMassg","BodMassg","Sex","DtExp","DtColl","DInBet"
"1","CRF2630_M1",1.92758690413021e-31,739.935106522278,-3.37046066336735e-05,Inf,"CRF2630","M1","couchii","T",100,-119.247356,36.934489,NA,71,"6.8","","15-Dec-15","6-Apr-15","253"
"2","CRF2631_M1",2.70899956604586,-1425481.74556159,1.75379306524516e-08,Inf,"CRF2631","M1","couchii","T",175,-119.247356,36.934489,NA,80.6,"22.8","","17-Dec-15","6-Apr-15","255"
"3","CRF2633_M1",4.75820264071332e-25,3133.58515819177,-7.97739168760597e-06,Inf,"CRF2633","M1","couchii","T",100,-119.247356,36.934489,NA,19.9,NA,"","22-Jun-15","6-Apr-15","77"
"4","CRF2633_M3",3.14624565233954e-32,1528.24840355901,-1.63487936514424e-05,Inf,"CRF2633","M3","couchii","T",100,-119.247356,36.934489,NA,8.5,NA,"","22-Jun-15","6-Apr-15","77"
"5","CRF2669_M1",4.69043241092062e+21,174.643744620331,-0.000140522942091987,2.10716239210004e+188,"CRF2669","M1","couchii","T",82.5,-120.658378,39.442691,NA,39.5,"19.9","","21-Oct-15","30-May-15","144"
"6","CRF2670_M1",7.87462948396256e-23,73.9163051100857,-0.000297943417185061,2.69346046508814e+48,"CRF2670","M1","couchii","T",82,-120.658378,39.442691,NA,12.3,"7.2","","9-Nov-15","30-May-15","163"
"7","CRF2671_M1",1.46124528311393e-25,154.276725973032,-0.000156169326512462,2.41064501942014e+122,"CRF2671","M1","couchii","T",17,-120.658378,39.442691,NA,170,"50.9","","10-Dec-15","30-May-15","194"
"8","CRF2672_M1",55907375.110242,3204097.09893542,-7.80251010749937e-09,Inf,"CRF2672","M1","couchii","T",32,-120.658378,39.442691,NA,40,"10.8","","19-Oct-15","30-May-15","142"
"9","CRF2673_M1",7.2333567953333e-25,77.0744419820792,-0.000282598470623189,2.55298826426294e+49,"CRF2673","M1","couchii","T",21.8,-120.658378,39.442691,NA,59.5,"22.4","","2-Nov-15","30-May-15","156"
"10","CRF2674_M1",2.44599757998795e-29,3855.3415629903,-6.4840027450078e-06,Inf,"CRF2674","M1","couchii","T",21.9,-120.658378,39.442691,NA,26.6,"5","","28-Sep-15","30-May-15","121"
"11","CRF2675_M1",103638937.8972,19786172.7906904,-1.26350862617346e-09,Inf,"CRF2675","M1","couchii","T",33.7,-120.658378,39.442691,NA,11.1,"4.7","","7-Oct-15","30-May-15","130"
"12","CRF2676_M1",7.68405991331754e-28,336.975210657884,-7.350911882623e-05,2.76478509464245e+294,"CRF2676","M1","couchii","T",21.3,-120.658378,39.442691,NA,56.2,"20.6","","14-Dec-15","30-May-15","198"
"13","CRF2678_M1",0.0379416961014043,-33409.1290218813,7.4829846086782e-07,Inf,"CRF2678","M1","couchii","T",36.5,-120.658378,39.442691,NA,62.8,NA,"","14-Oct-15","30-May-15","137"
"14","CRF2679_M1",1.78238982287242e-29,410.989630543417,-6.04082949734156e-05,Inf,"CRF2679","M1","couchii","T",35.7,-120.658378,39.442691,NA,16,"11.4","","4-Nov-15","30-May-15","158"
"15","CRF2680_M1",1.47825423178211e-15,-3605.67605456664,6.93333536015043e-06,Inf,"CRF2680","M1","couchii","T",40.8,-120.658378,39.442691,NA,84,"7.9","","26-Oct-15","30-May-15","149"
"16","CRF2681_M1",6.80428612935429e-27,291.349272099811,-8.48262940668343e-05,7.08994881459071e+251,"CRF2681","M1","couchii","WT",20.6,-120.658378,39.442691,NA,46.3,"18.2","","28-Oct-15","30-May-15","151"
"17","CRF3051_M1",7.6527217554661e-22,-94.3596646430018,0.00024655117771609,8.4298355400545e+68,"CRF3051","M1","couchii","T",3.3,-120.77225,40.39627,NA,70.1,"32.3","","9-Oct-16","16-Jul-16","85"
"18","CRF3052_M1",2.95227593383964e-24,-231.2979122597,0.000106490259402182,1.52917492887589e+197,"CRF3052","M1","couchii","T",3.3,-120.77225,40.39627,NA,40.7,"9.9","","18-Oct-16","16-Jul-16","94"
"19","CRF3055_M1",36925774.2651879,17203817.6287378,-1.45316583443865e-09,Inf,"CRF3055","M1","couchii","T",3.35,-120.77225,40.39627,NA,9.3,"5.1","","4-Oct-16","16-Jul-16","80"
"20","CRF3056_M1",3.60760130626409e-29,258.527162752787,-9.50580497730507e-05,1.7981548095038e+218,"CRF3056","M1","couchii","T",5,-120.77225,40.39627,NA,25.2,"19.8","","19-Oct-16","16-Jul-16","95"
"21","CRF3058_M1",0.0011499490852804,-56573.4954698316,4.4190304367288e-07,Inf,"CRF3058","M1","couchii","T",2.41,-120.80296,40.36777,"470",70.9,"41","","25-Feb-17","17-Jul-16","223"
"22","CRF3059_M1",2.48917845469858e-22,-211.291803623009,0.000116542912714933,1.04634992239721e+180,"CRF3059","M1","couchii","T",0.1,-120.80296,40.36777,"540",99.9,"71","","27-Apr-17","17-Jul-16","284"
"23","CRF3060_M1",1.0724847065183e-19,-155.837698682152,0.000156981692642234,5.46195054635845e+129,"CRF3060","M1","couchii","T",3.14,-120.80296,40.36777,NA,67.4,"24.3","","28-Oct-16","17-Jul-16","103"
"24","CRF3061_M1",0.0257869265290265,-121804.905460125,2.05246249242547e-07,Inf,"CRF3061","M1","couchii","T",3.76,-120.80296,40.36777,"720",220.9,"133","","23-Mar-17","17-Jul-16","249"
"25","CRF3064_M1",1.3277620270926e-26,-97.0536301552401,0.000233083007882045,5.44276813541951e+66,"CRF3064","M1","couchii","T",69,-119.90284,38.04029,NA,103.5,"48.8","F","16-Nov-16","23-Jul-16","116"
"26","CRF3065_M1",1.45334671167481e+22,122.08202148811,-0.000196835991988315,4.55222557704257e+138,"CRF3065","M1","couchii","T",85.3,-119.90284,38.04029,NA,99,"59.4","","9-Nov-16","23-Jul-16","109"
"27","CRF3069_M1",1.47493701481345e+22,140.422709547464,-0.000172776975110408,1.46585906000161e+156,"CRF3069","M1","couchii","T",37.8,-119.902411,38.04301,"500",64.9,"48","","28-Feb-17","23-Jul-16","220"
"28","CRF3069_M3",8.77919493288839e-20,-153.83887096664,0.000158900772836083,5.53407413516388e+127,"CRF3069","M3","couchii","T",37.8,-119.902411,38.04301,"500",100.5,"48","","28-Feb-17","23-Jul-16","220"
"29","CRF3070_M1",1.02033289268899e-30,1940.90624955088,-1.28762290232914e-05,Inf,"CRF3070","M1","couchii","T",58.8,-119.902411,38.04301,"490",56.6,"42","","13-Apr-17","23-Jul-16","264"
"30","EJE182_M1",1.17852361956645e+22,44.652770742855,-0.000422430307575996,4.79634371620546e+64,"EJE182","M1","couchii","T",47.5,-119.919969,37.817948,"770",238.9,"190","","16-Apr-17","10-Sep-16","218"
"31","EJE186_M1",63.3936425890867,-0.921069463701025,0.0113554188971683,471.321938452754,"EJE186","M1","couchii","T",137.6,-119.918561,37.821434,"370",62.8,"30","","25-Feb-17","10-Sep-16","168"
