"","x0","dx","maxslope","range.10.90"
"CRF2630_M1",1.36220562268961e-28,598.864948389612,-4.1617347066928e-05,Inf
"CRF2631_M1",73734298.623829,6544582.83369713,-3.81995317887063e-09,Inf
"CRF2633_M1",1.65413722037644e-33,2286.87940229542,-1.09287663616254e-05,Inf
"CRF2633_M3",5.32470771994154e-31,1206.13558590611,-2.07088949526524e-05,Inf
"CRF2669_M1",7.85040095562265e+21,165.482925901183,-0.000147924922740529,6.39343596876914e+179
"CRF2670_M1",4.63399272875064e-25,76.8818326504036,-0.000282523845844824,1.07119433343466e+49
"CRF2671_M1",8.88488985459337e-29,208.901656866012,-0.000116657472424174,1.95656068282601e+171
"CRF2672_M1",130091001.892237,15751639.0533266,-1.58713641896927e-09,Inf
"CRF2673_M1",6.35583602477385e-24,77.4300721399014,-0.000284438042690821,4.90048460397267e+50
"CRF2674_M1",102106980.868002,14905385.8378512,-1.67724608218507e-09,Inf
"CRF2676_M1",2.29434650056355e-30,294.748825913419,-8.36146604986004e-05,4.1929366534598e+251
"CRF2678_M1",0.00511323705192977,-12896.8283578089,1.93846092607049e-06,Inf
"CRF2679_M1",3.11858332733692e-28,307.493558515913,-8.03833631279151e-05,8.2676535087318e+265
"CRF2680_M1",0.0174856140600073,-193144.887822931,1.29436508908099e-07,Inf
"CRF2681_M1",5.08888587735024e-28,317.886035715835,-7.78244987847457e-05,1.11427182366357e+276
"CRF3051_M1",3.79307489763724e-26,-79.9801362745324,0.00027139224762015,7.93299831841387e+50
"CRF3052_M1",1.97744137360631e+22,108.329541297258,-0.000219348138041656,4.66398291093788e+125
"CRF3055_M1",49963618.4650102,11473100.8901697,-2.17900986309717e-09,Inf
"CRF3056_M1",1.54891736590537e-29,297.837304077782,-8.28336926668842e-05,2.50636719037414e+255
"CRF3058_M1",0.00567610330744914,-31374.5814767576,7.96823366834012e-07,Inf
"CRF3059_M1",3.8019216985795e-20,-230.033759905579,0.000107552421297955,1.22460344345925e+200
"CRF3060_M1",2.34829230215232e-20,-104.974443937115,0.000226366796380195,3.48200158132459e+80
"CRF3061_M1",3.51866170467154e+21,203.795657826892,-0.000121033917111462,1.03957888989368e+216
"CRF3064_M1",2.43910875938964e+22,41.1432958634723,-0.000433088902354385,4.4454226424177e+61
"CRF3065_M1",1.48676490515031e+22,76.3584383520085,-0.000296181877977636,1.08820353152896e+95
"CRF3066_M1",7.9592042640417e-24,-77.8813934073659,0.000283476112622942,1.65426824883081e+51
"CRF3069_M3",37.2303600122398,-0.620528632394071,0.01583210129224,136.0338932834
"CRF3070_M1",5.71278066171639e-30,1159.76470358142,-2.15366790412689e-05,Inf
"CRF3074_M1",2.48107615218316e+22,62.449293717239,-0.000343978750235428,9.691942832781e+81
"EJE182_M1",4.96034338470258e+21,42.6613048599572,-0.000435455993392182,2.53946567798365e+62
"EJE186_M1",4.43849385886547e+21,171.815748482998,-0.000142754729629815,3.99141253542989e+185
