"","Dose","CRF2633_M1"
"1",0,0
"2",10,0.121191320799121
"3",20,0.123895735044609
"4",30,0.150205402767208
"5",40,0.178526411641621
"6",50,0.273715922362893
"7",60,0.296063070091789
"8",70,0.463386824304511
"9",80,0.53149668832923
"10",90,0.675133446339678
"11",100,0.730737818847825
"12",200,0.837727080597929
"13",300,0.924958932127478
"14",400,0.955416162390259
"15",500,0.998090963410897
"16",600,1
