"","Dose","CRF2630_M1","CRF2631_M1","CRF2633_M1","CRF2633_M3","CRF2669_M1","CRF2670_M1","CRF2671_M1","CRF2672_M1","CRF2673_M1","CRF2674_M1","CRF2675_M1","CRF2676_M1","CRF2678_M1","CRF2679_M1","CRF2680_M1","CRF2681_M1","CRF3051_M1","CRF3052_M1","CRF3055_M1","CRF3056_M1","CRF3058_M1","CRF3059_M1","CRF3060_M1","CRF3061_M1","CRF3064_M1","CRF3065_M1","CRF3066_M1","CRF3069_M3","CRF3070_M1","CRF3074_M1","EJE182_M1","EJE186_M1"
"1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2",10,0.00619778218641287,0.00603752318198778,0.0310644815740614,0.0596649562811297,0.0150440708818038,0.00941525657717597,0.00919659391018054,0.0079978794177662,0.00640964877282835,0.0114158184836598,0.00696633660852942,0.00669573043707907,0.00518334151208978,0.00622576154757145,0.0105223031877505,0.0058296689187973,0.00473558940746028,0.00658143829269235,0.0399139656905512,0.0338712263918437,0.0570591935488257,0.0195131125133438,0.0117896899600117,0.0944942764854319,0.00417271439504133,0.0172473485932698,0.0170004226407753,0.0845565715677519,0.0172037584931501,0.0347214495060194,0.0235997015149539,0.0152414637831769
"3",20,0.00621073163397458,0.00557566683500773,0.0282847842965389,0.0698332437297884,0.0163113342208378,0.0094862402067976,0.00753053001751455,0.0074449355144011,0.00496403688094866,0.0111010204567366,0.00689304841958639,0.00895110031290448,0.00557712681164234,0.00583108068338601,0.010337973926859,0.00651943699373573,0.278310448075624,0.00734744234262542,0.0384408484441185,0.0339471226034852,0.0552073845320022,0.076490640718311,0.23329586994848,0.0978717354575643,0.0516961233309228,0.112138073177764,0.0588843094745172,0.123979548745314,0.0176375245287174,0.0697836206558039,0.0296037723849272,0.0341098589054332
"4",30,0.00566852143271282,0.121377552316203,0.0480673053081739,0.0525810589178777,0.062506232972766,0.00958279020720925,0.0112680261385712,0.0184012302404286,0.00564502442167937,0.0100721892071527,0.00687689421280995,0.00989261958558321,0.0705697772359661,0.00645818816588626,0.00997150360876765,0.00563197229449158,0.51717200333177,0.194241135904553,0.0454862846893781,0.0333704788857308,0.0739799472639503,0.385978346184433,0.302737225979381,0.0886626705064704,0.538917902121017,0.293509143584172,0.672512477795103,0.425711866256445,0.0175779782168467,0.0328506997028011,0.556381625892285,0.253776072018016
"5",40,0.0227535334384235,0.154774929322856,0.128856371208397,0.0587020425209583,0.0401378649436488,0.0206402691106891,0.0113548433433766,0.164467438773816,0.00549540832059649,0.0221972868557729,0.0139758474757946,0.0165831203353641,0.114095930168358,0.0208367330766891,0.0112893649330857,0.0263125126282276,0.848481132751359,0.402593888140723,0.102308696125621,0.0374245586213966,0.178880292657572,0.562713343360337,0.602392307661664,0.0922005778366969,0.431114096258995,0.513484973847923,0.414297211482029,0.644388582185139,0.077446803114588,0.517656231293773,0.679526343644856,0.450201824715808
"6",50,0.175333596112562,0.25502359173253,0.163261038528921,0.0668317972299765,0.277919615990428,0.0197054167164898,0.022217933781237,0.251741591849764,0.00566596902795119,0.0454663470625123,0.0661635127273098,0.0547871877334123,0.166090338078204,0.05893314293062,0.0549589241654586,0.0992481134068512,0.55386893469167,0.781174381044627,0.161131444924497,0.171630439614689,0.354106247121496,0.637499487573573,0.442328621314682,0.13108658940165,0.588777481917397,0.386986973954056,0.466875687684696,0.679331699663432,0.123727002288944,0.420259204006534,0.706856883162036,0.523180404240171
"7",60,0.16425233490394,0.442772219984295,0.172216039178567,0.110014839476813,0.547932335363848,0.0191598259814049,0.0525725077411795,0.32820703239164,0.011276842767287,0.156897276449671,0.1235800396157,0.0673919026137885,0.476358606801052,0.105006468134141,0.297606523751825,0.282573907229294,0.584387268218825,0.487225489000662,0.303618694576024,0.168195278043703,0.450933456263086,0.669021544624241,0.78749481260654,0.373205149416466,0.917384765191126,0.417333146458793,0.86901265175623,0.700311348391675,0.211609782017265,0.885376390934164,0.768218578004123,0.561429169756529
"8",70,0.281690036358927,0.325305449882826,0.220949251727282,0.191412337289304,0.371079262736494,0.0984753176386984,0.0744930119284094,0.62055105208333,0.0337423852991233,0.325692470077026,0.369266790642925,0.344895537482441,0.607884198630432,0.190656925412737,0.273256555488689,0.330427805774809,0.610858253216051,0.531932825943614,0.281407172345182,0.256683238569465,0.534528265593777,0.764935841236879,0.459015653145894,0.633064375936121,0.627942871464301,0.460833173722248,0.496115979040089,0.771811408451874,0.423688587399995,0.86064850676692,0.818493033150334,0.58415906348076
"9",80,0.680784649015565,0.435419044738425,0.388121111615614,0.222716743814358,0.802215725729053,0.117817285265865,0.143733704670342,0.682149367825239,0.0301425870305609,0.477708187743884,0.234628687688615,0.224824343044812,0.438719043211967,0.214444280982519,0.814226604394169,0.384491795560427,0.62769664260065,0.953017890788253,0.455480814402337,0.347034518290837,0.529905026267585,0.863724716359214,0.482270123226629,0.713181846560083,0.634612332674413,0.488747411105675,0.515203640147401,0.737868993271118,0.607323661710502,0.874866316191075,0.874020604282174,0.600802459675872
"10",90,0.562319548984256,0.477253600545376,0.461782656274948,0.344779918502266,0.850473762133851,0.233659893945764,0.221942375323821,0.468262690794695,0.0732831169532947,0.600762855988974,0.444842986644097,0.333148187656366,0.86587851317659,0.536027649331939,0.484122283600148,0.411830545082126,0.648682065824737,0.566506437275441,0.556700928344718,0.586484069729882,0.563523149358177,0.873369838110083,0.861712892227659,0.725223828657665,0.960277684951455,0.499530221438926,0.934856340036756,0.767286176853714,0.670257868512888,0.875809306129108,0.897016189863021,0.623225461554694
