"","X","x0","dx","maxslope","range.10.90","Snake","Muscle","Species","Genotype","MAMU","Long","Lat","SVLmm","MusMassg","BodMassg","Sex","DtExp","DtColl","DInBet"
"1","CRF2630_M1",2.58080643113109e-28,1329.86672870822,-1.87873659551942e-05,Inf,"CRF2630","M1","couchii","T",100,-119.247356,36.934489,NA,71,"6.8","","15-Dec-15","6-Apr-15","253"
"2","CRF2631_M1",0.310090215652828,-272338.228870924,9.17976154234013e-08,Inf,"CRF2631","M1","couchii","T",175,-119.247356,36.934489,NA,80.6,"22.8","","17-Dec-15","6-Apr-15","255"
"3","CRF2633_M1",8.21886765942218e-27,1942.07345219398,-1.28695213713637e-05,Inf,"CRF2633","M1","couchii","T",100,-119.247356,36.934489,NA,19.9,NA,"","22-Jun-15","6-Apr-15","77"
"4","CRF2633_M3",1.1757192941898e-27,2895.98055603585,-8.63159045040625e-06,Inf,"CRF2633","M3","couchii","T",100,-119.247356,36.934489,NA,8.5,NA,"","22-Jun-15","6-Apr-15","77"
"5","CRF2669_M1",68.8162613931784,-0.549672588617626,0.00899555952363845,209.689605947565,"CRF2669","M1","couchii","T",82.5,-120.658378,39.442691,NA,39.5,"19.9","","21-Oct-15","30-May-15","144"
"6","CRF2670_M1",2.02166001748693e-23,71.2053684543016,-0.000304219612322841,1.79018371245117e+45,"CRF2670","M1","couchii","T",82,-120.658378,39.442691,NA,12.3,"7.2","","9-Nov-15","30-May-15","163"
"7","CRF2671_M1",6.37736507254099e-30,131.03650504117,-0.000177964253325,7.00236391688857e+95,"CRF2671","M1","couchii","T",17,-120.658378,39.442691,NA,170,"50.9","","10-Dec-15","30-May-15","194"
"8","CRF2672_M1",103010868.293915,15689062.5674955,-1.59346677932104e-09,Inf,"CRF2672","M1","couchii","T",32,-120.658378,39.442691,NA,40,"10.8","","19-Oct-15","30-May-15","142"
"9","CRF2673_M1",5.96548805822973e-29,92.6578963649057,-0.000237142600409894,1.56224638100868e+60,"CRF2673","M1","couchii","T",21.8,-120.658378,39.442691,NA,59.5,"22.4","","2-Nov-15","30-May-15","156"
"10","CRF2674_M1",110319687.923423,4334309.35414113,-5.76793162583717e-09,Inf,"CRF2674","M1","couchii","T",21.9,-120.658378,39.442691,NA,26.6,"5","","28-Sep-15","30-May-15","121"
"11","CRF2675_M1",80379874.1560424,6620092.92467486,-3.77638203638838e-09,Inf,"CRF2675","M1","couchii","T",33.7,-120.658378,39.442691,NA,11.1,"4.7","","7-Oct-15","30-May-15","130"
"12","CRF2676_M1",9.37104617320125e-30,324.459411301112,-7.61830579077486e-05,3.84371279072701e+280,"CRF2676","M1","couchii","T",21.3,-120.658378,39.442691,NA,56.2,"20.6","","14-Dec-15","30-May-15","198"
"13","CRF2678_M1",1.24461503874606e+22,136.909550286195,-0.000176974670930937,5.49474921431186e+152,"CRF2678","M1","couchii","T",36.5,-120.658378,39.442691,NA,62.8,NA,"","14-Oct-15","30-May-15","137"
"14","CRF2679_M1",7.00427144214033e-30,377.572611687858,-6.5655788674968e-05,Inf,"CRF2679","M1","couchii","T",35.7,-120.658378,39.442691,NA,16,"11.4","","4-Nov-15","30-May-15","158"
"15","CRF2680_M1",0.000425553728076615,-66751.5738371187,3.74523002542446e-07,Inf,"CRF2680","M1","couchii","T",40.8,-120.658378,39.442691,NA,84,"7.9","","26-Oct-15","30-May-15","149"
"16","CRF2681_M1",3.31846317371112e-30,293.147298993408,-8.4070977572672e-05,1.79701304300439e+250,"CRF2681","M1","couchii","WT",20.6,-120.658378,39.442691,NA,46.3,"18.2","","28-Oct-15","30-May-15","151"
"17","CRF3051_M1",1.75047750007098e-23,-109.019073294722,0.000215468598622849,1.87841094631448e+81,"CRF3051","M1","couchii","T",3.3,-120.77225,40.39627,NA,70.1,"32.3","","9-Oct-16","16-Jul-16","85"
"18","CRF3051_M2",3.05670603892635e-31,878.254383831865,-2.84170296719381e-05,Inf,"CRF3051","M2","couchii","T",3.3,-120.77225,40.39627,NA,62.8,"32.3","","9-Oct-16","16-Jul-16","85"
"19","CRF3052_M1",1.7712079369618e-20,-147.433958679044,0.000165191512652379,8.63018799270905e+120,"CRF3052","M1","couchii","T",3.3,-120.77225,40.39627,NA,40.7,"9.9","","18-Oct-16","16-Jul-16","94"
"20","CRF3055_M1",7635184.41335906,9371993.78144405,-2.66752204312015e-09,Inf,"CRF3055","M1","couchii","T",3.35,-120.77225,40.39627,NA,9.3,"5.1","","4-Oct-16","16-Jul-16","80"
"21","CRF3056_M1",6.24571296692666e-27,231.520779877476,-0.000106029378520754,5.27900409870354e+194,"CRF3056","M1","couchii","T",5,-120.77225,40.39627,NA,25.2,"19.8","","19-Oct-16","16-Jul-16","95"
"22","CRF3058_M1",0.000343964569276351,-16016.7959116805,1.56086133359302e-06,Inf,"CRF3058","M1","couchii","T",2.41,-120.80296,40.36777,"470",70.9,"41","","25-Feb-17","17-Jul-16","223"
"23","CRF3059_M1",1.27118714279863e-23,-217.810387713794,0.0001129669052801,8.87442953968292e+184,"CRF3059","M1","couchii","T",0.1,-120.80296,40.36777,"540",99.9,"71","","27-Apr-17","17-Jul-16","284"
"24","CRF3060_M1",4.49877347657056e-24,-91.5191555914872,0.000249063235144798,9.65078897478628e+63,"CRF3060","M1","couchii","T",3.14,-120.80296,40.36777,NA,67.4,"24.3","","28-Oct-16","17-Jul-16","103"
"25","CRF3061_M1",0.0237378504134557,-70261.3497893168,3.55814399078967e-07,Inf,"CRF3061","M1","couchii","T",3.76,-120.80296,40.36777,"720",220.9,"133","","23-Mar-17","17-Jul-16","249"
"26","CRF3064_M1",2.8896818115836e-23,-101.159201850833,0.000230213723239814,9.80078024360985e+73,"CRF3064","M1","couchii","T",69,-119.90284,38.04029,NA,103.5,"48.8","F","16-Nov-16","23-Jul-16","116"
"27","CRF3065_M1",1.97861045234851e-22,-193.545919208137,0.000126840801179774,9.68509613453532e+162,"CRF3065","M1","couchii","T",85.3,-119.90284,38.04029,NA,99,"59.4","","9-Nov-16","23-Jul-16","109"
"28","CRF3069_M1",1.67811852075946e+22,154.60131599116,-0.000157732797307255,5.64898425931022e+169,"CRF3069","M1","couchii","T",37.8,-119.902411,38.04301,"500",64.9,"48","","28-Feb-17","23-Jul-16","220"
"29","CRF3069_M3",1.75833910871595e+22,50.9062073786038,-0.00039313707104917,6.63696780154278e+70,"CRF3069","M3","couchii","T",37.8,-119.902411,38.04301,"500",100.5,"48","","28-Feb-17","23-Jul-16","220"
"30","CRF3070_M1",821681.329478499,8478998.27498859,-2.9484615032573e-09,Inf,"CRF3070","M1","couchii","T",58.8,-119.902411,38.04301,"490",56.6,"42","","13-Apr-17","23-Jul-16","264"
"31","EJE182_M1",1.81818009284079e+22,47.7913850289329,-0.000406757602262413,7.31489468760279e+67,"EJE182","M1","couchii","T",47.5,-119.919969,37.817948,"770",238.9,"190","","16-Apr-17","10-Sep-16","218"
"32","EJE186_M1",1.45582284535831e+22,183.188660919774,-0.000134085310772116,9.32214872019384e+196,"EJE186","M1","couchii","T",137.6,-119.918561,37.821434,"370",62.8,"30","","25-Feb-17","10-Sep-16","168"
