"","x0","dx","maxslope","range.10.90"
"CRF2630_M1",3.03922164728453e-31,434.81342197318,-5.70973724612293e-05,Inf
"CRF2631_M1",3.56861039543639e-26,259.993010396829,-9.48495465943073e-05,4.45534986996233e+222
"CRF2633_M1",3.85219450624652e-33,568.180378181898,-4.37990210952691e-05,Inf
"CRF2633_M3",1.75357032377128e-28,101.956611421884,-0.000221062949711475,3.42969834846425e+69
"CRF2669_M1",470112.394730881,2191900.83379989,-1.14056254801041e-08,Inf
"CRF2670_M1",5.2088854104059e-22,56.6570519764987,-0.000361849615021376,6.04383026404338e+32
"CRF2671_M1",5.41659630244881e-22,53.0466243985107,-0.000376337514786282,2.25460492971593e+29
"CRF2672_M1",7.50831727060966e-32,631.897250224113,-3.94281705758677e-05,Inf
"CRF2673_M1",4.90501723831239e-23,54.131933645148,-0.000364633165367299,2.21632140252804e+29
"CRF2674_M1",7.64296200287591e-30,443.832061707245,-5.59852329305083e-05,Inf
"CRF2675_M1",1.03507467686028e-26,99.2209561717226,-0.000228789330075357,4.96393275908639e+68
"CRF2676_M1",1.23112945168201e-24,84.0023627594978,-0.000265450622519825,1.77390010446962e+56
"CRF2678_M1",446024.11879485,3150727.64423423,-7.9346750410742e-09,Inf
"CRF2679_M1",1.05690215390956e-29,118.929044831261,-0.000193456787720271,3.24477784473613e+84
"CRF2680_M1",7.61195509056593e-26,174.258652106951,-0.000139276355799176,1.46726884255705e+141
"CRF2681_M1",1.56907519432584e-28,113.416312953696,-0.000202605917989503,2.64430070592846e+80
"CRF3051_M1",1.28859075594095e+22,83.6413174890971,-0.000275014220328681,8.39877032515194e+101
"CRF3052_M1",9.08032928807292e+21,163.078602953018,-0.000149992667999388,3.7552332336769e+177
"CRF3055_M1",3.05812629069593e-27,458.757136286066,-5.42360597983963e-05,Inf
"CRF3056_M1",8.03684759926931e-29,308.988822014949,-7.99656147667074e-05,5.69317641092669e+266
"CRF3058_M1",33846490.133784,-5376300.12145808,4.65003802525276e-09,Inf
"CRF3059_M1",8.85894282007043e-27,-218.829269802213,0.000111960944953682,5.80194294034359e+182
"CRF3060_M1",6.39613403971255e+21,257.085930453822,-9.64044027450221e-05,1.3435102192827e+267
"CRF3061_M1",0.0109145036892055,-57701.8490811866,4.33261677238584e-07,Inf
"CRF3064_M1",2.24724572815507e+22,69.9813638586013,-0.000316547090561657,1.35158332773401e+89
"CRF3065_M1",2.92558939950217e-29,468.586275359327,-5.30720323263257e-05,Inf
"CRF3066_M1",1.35972223254967e+22,177.237217051958,-0.000138428740571144,1.8227913726165e+191
"CRF3069_M3",5.46190138861781e-21,-146.18525458772,0.000166308604783272,1.71209569699098e+119
"CRF3070_M1",1.33795002041651e-33,933.716331170745,-2.67280737421522e-05,Inf
"CRF3074_M1",1.93462742055124e+22,65.1823413424761,-0.000334050894150025,3.06449073558952e+84
"EJE182_M1",1.16945329228286e+22,45.3990622913811,-0.000419189102368177,2.45300259692217e+65
"EJE186_M1",4.47532208947256e-23,-1761.14521704713,1.41920019363817e-05,Inf
