"","x0","dx","maxslope","range.10.90"
"CRF2630_M1",2.58080643113109e-28,1329.86672870822,-1.87873659551942e-05,Inf
"CRF2631_M1",0.310090215652828,-272338.228870924,9.17976154234013e-08,Inf
"CRF2633_M1",8.21886765942218e-27,1942.07345219398,-1.28695213713637e-05,Inf
"CRF2633_M3",1.1757192941898e-27,2895.98055603585,-8.63159045040625e-06,Inf
"CRF2669_M1",68.8162613931784,-0.549672588617626,0.00899555952363845,209.689605947565
"CRF2670_M1",2.02166001748693e-23,71.2053684543016,-0.000304219612322841,1.79018371245117e+45
"CRF2671_M1",6.37736507254099e-30,131.03650504117,-0.000177964253325,7.00236391688857e+95
"CRF2672_M1",103010868.293915,15689062.5674955,-1.59346677932104e-09,Inf
"CRF2673_M1",5.96548805822973e-29,92.6578963649057,-0.000237142600409894,1.56224638100868e+60
"CRF2674_M1",110319687.923423,4334309.35414113,-5.76793162583717e-09,Inf
"CRF2675_M1",80379874.1560424,6620092.92467486,-3.77638203638838e-09,Inf
"CRF2676_M1",9.37104617320125e-30,324.459411301112,-7.61830579077486e-05,3.84371279072701e+280
"CRF2678_M1",1.24461503874606e+22,136.909550286195,-0.000176974670930937,5.49474921431186e+152
"CRF2679_M1",7.00427144214033e-30,377.572611687858,-6.5655788674968e-05,Inf
"CRF2680_M1",0.000425553728076615,-66751.5738371187,3.74523002542446e-07,Inf
"CRF2681_M1",3.31846317371112e-30,293.147298993408,-8.4070977572672e-05,1.79701304300439e+250
"CRF3051_M1",1.75047750007098e-23,-109.019073294722,0.000215468598622849,1.87841094631448e+81
"CRF3051_M2",3.05670603892635e-31,878.254383831865,-2.84170296719381e-05,Inf
"CRF3052_M1",1.7712079369618e-20,-147.433958679044,0.000165191512652379,8.63018799270905e+120
"CRF3055_M1",7635184.41335906,9371993.78144405,-2.66752204312015e-09,Inf
"CRF3056_M1",6.24571296692666e-27,231.520779877476,-0.000106029378520754,5.27900409870354e+194
"CRF3058_M1",0.000343964569276351,-16016.7959116805,1.56086133359302e-06,Inf
"CRF3059_M1",1.27118714279863e-23,-217.810387713794,0.0001129669052801,8.87442953968292e+184
"CRF3060_M1",4.49877347657056e-24,-91.5191555914872,0.000249063235144798,9.65078897478628e+63
"CRF3061_M1",0.0237378504134557,-70261.3497893168,3.55814399078967e-07,Inf
"CRF3064_M1",2.8896818115836e-23,-101.159201850833,0.000230213723239814,9.80078024360985e+73
"CRF3065_M1",1.97861045234851e-22,-193.545919208137,0.000126840801179774,9.68509613453532e+162
"CRF3069_M1",1.67811852075946e+22,154.60131599116,-0.000157732797307255,5.64898425931022e+169
"CRF3069_M3",1.75833910871595e+22,50.9062073786038,-0.00039313707104917,6.63696780154278e+70
"CRF3070_M1",821681.329478499,8478998.27498859,-2.94846150325730e-09,Inf
"EJE182_M1",1.81818009284079e+22,47.7913850289329,-0.000406757602262413,7.31489468760279e+67
"EJE186_M1",1.45582284535831e+22,183.188660919774,-0.000134085310772116,9.32214872019384e+196
