"","x0","dx","maxslope","range.10.90"
"CRF2630_M1",1.92758690413021e-31,739.935106522278,-3.37046066336735e-05,Inf
"CRF2631_M1",2.70899956604586,-1425481.74556159,1.75379306524516e-08,Inf
"CRF2633_M1",4.75820264071332e-25,3133.58515819177,-7.97739168760597e-06,Inf
"CRF2633_M3",3.14624565233954e-32,1528.24840355901,-1.63487936514424e-05,Inf
"CRF2669_M1",4.69043241092062e+21,174.643744620331,-0.000140522942091987,2.10716239210004e+188
"CRF2670_M1",7.87462948396256e-23,73.9163051100857,-0.000297943417185061,2.69346046508814e+48
"CRF2671_M1",1.46124528311393e-25,154.276725973032,-0.000156169326512462,2.41064501942014e+122
"CRF2672_M1",55907375.110242,3204097.09893542,-7.80251010749937e-09,Inf
"CRF2673_M1",7.2333567953333e-25,77.0744419820792,-0.000282598470623189,2.55298826426294e+49
"CRF2674_M1",2.44599757998795e-29,3855.3415629903,-6.4840027450078e-06,Inf
"CRF2675_M1",103638937.8972,19786172.7906904,-1.26350862617346e-09,Inf
"CRF2676_M1",7.68405991331754e-28,336.975210657884,-7.350911882623e-05,2.76478509464245e+294
"CRF2678_M1",0.0379416961014043,-33409.1290218813,7.4829846086782e-07,Inf
"CRF2679_M1",1.78238982287242e-29,410.989630543417,-6.04082949734156e-05,Inf
"CRF2680_M1",1.47825423178211e-15,-3605.67605456664,6.93333536015043e-06,Inf
"CRF2681_M1",6.80428612935429e-27,291.349272099811,-8.48262940668343e-05,7.08994881459071e+251
"CRF3051_M1",7.6527217554661e-22,-94.3596646430018,0.00024655117771609,8.4298355400545e+68
"CRF3052_M1",2.95227593383964e-24,-231.2979122597,0.000106490259402182,1.52917492887589e+197
"CRF3055_M1",36925774.2651879,17203817.6287378,-1.45316583443865e-09,Inf
"CRF3056_M1",3.60760130626409e-29,258.527162752787,-9.50580497730507e-05,1.7981548095038e+218
"CRF3058_M1",0.0011499490852804,-56573.4954698316,4.4190304367288e-07,Inf
"CRF3059_M1",2.48917845469858e-22,-211.291803623009,0.000116542912714933,1.04634992239721e+180
"CRF3060_M1",1.0724847065183e-19,-155.837698682152,0.000156981692642234,5.46195054635845e+129
"CRF3061_M1",0.0257869265290265,-121804.905460125,2.05246249242547e-07,Inf
"CRF3064_M1",1.3277620270926e-26,-97.0536301552401,0.000233083007882045,5.44276813541951e+66
"CRF3065_M1",1.45334671167481e+22,122.08202148811,-0.000196835991988315,4.55222557704257e+138
"CRF3069_M1",1.47493701481345e+22,140.422709547464,-0.000172776975110408,1.46585906000161e+156
"CRF3069_M3",8.77919493288839e-20,-153.83887096664,0.000158900772836083,5.53407413516388e+127
"CRF3070_M1",1.02033289268899e-30,1940.90624955088,-1.28762290232914e-05,Inf
"EJE182_M1",1.17852361956645e+22,44.652770742855,-0.000422430307575996,4.79634371620546e+64
"EJE186_M1",63.3936425890867,-0.921069463701025,0.0113554188971683,471.321938452754
