"","Dose","CRF2630_M1","CRF2631_M1","CRF2633_M1","CRF2633_M3","CRF2669_M1","CRF2670_M1","CRF2671_M1","CRF2672_M1","CRF2673_M1","CRF2674_M1","CRF2675_M1","CRF2676_M1","CRF2678_M1","CRF2679_M1","CRF2680_M1","CRF2681_M1","CRF3051_M1","CRF3052_M1","CRF3055_M1","CRF3056_M1","CRF3058_M1","CRF3059_M1","CRF3060_M1","CRF3061_M1","CRF3064_M1","CRF3065_M1","CRF3069_M1","CRF3069_M3","CRF3070_M1","EJE182_M1","EJE186_M1"
"1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2",10,0.0129608273210513,0.0154563616653792,0.0531319982850052,0.123142100324982,0.0694364968362201,0.0186270387322888,0.03890197179469,0.0266358477068454,0.0247088845469764,0.0417315017524672,0.0271597593858707,0.0440007699264069,0.0129999854884117,0.00913141210718475,0.0431812229727093,0.0333755503303636,0.0118026781041462,0.0228865001377209,0.0933324997616116,0.0542869967917312,0.0550981733973337,0.0182994977956162,0.0424139175469464,0.0874700501245674,0.0119132522865339,0.0800124291091572,0.0942934012689909,0.0941502320113109,0.0189780669324547,0.0256215336586066,0.0166447180345509
"3",20,0.0130584407174796,0.0163095661214542,0.0493332331453682,0.143702199389318,0.0789355038867142,0.0164424998890763,0.0399830717977822,0.02300250206103,0.0187602459401178,0.041077417781273,0.0256254689364238,0.0471401031192332,0.0137699185217508,0.0222841240402556,0.0554486629019502,0.0284083647989409,0.123466641996343,0.0238977153697517,0.0751216572963088,0.0512336311026667,0.0533593001952454,0.0749652531539918,0.517163587961706,0.0831267557202824,0.0151840129898981,0.10386689209852,0.195629021707555,0.0760683827151775,0.0189988819267102,0.0454507674685504,0.0322154752995152
"4",30,0.0137202539133067,0.0172673187346197,0.161608109726502,0.138455197672327,0.0775722668716104,0.0138137650351914,0.0467983810925735,0.0295519481107296,0.0227688445077081,0.0377296588647199,0.0321780480077222,0.0413797977459017,0.0136190869864149,0.0193253650254929,0.0490685969356247,0.0326257943886761,0.739718601956673,0.42881859532027,0.0858125522367739,0.0612316087670754,0.084577200730629,0.399281608938836,0.677068100631423,0.0904042276947664,0.727092478397725,0.335069426456297,0.24561554088983,0.383412774920705,0.0181350290651069,0.545929901188155,0.304363859073905
"5",40,0.0557285367873242,0.26033699549425,0.0672493630832682,0.121181511802029,0.228619636344291,0.0148326154647946,0.0346054637870492,0.245284183165454,0.0222674696946717,0.0447667105500437,0.0475525588259264,0.0365986745498246,0.275271593690769,0.0470650748975873,0.0481681063382411,0.111792161358827,0.750039653624118,0.387375287556235,0.0775374811456347,0.0544797007154322,0.21665027524838,0.553408762076835,0.858109525042488,0.111271172249076,0.478208301798209,0.345249349488048,0.390920513286644,0.693054631172838,0.0374760198656062,0.644748353925832,0.445728163708564
"6",50,0.0440730588515464,0.252481077176978,0.245087682290469,0.13279158631338,0.177618515419195,0.0351729162294105,0.0478740474781631,0.211611084219961,0.0219368603495486,0.0369738825234916,0.319715391034376,0.140083441113488,0.274739811818396,0.0297699666087952,0.0724552146642782,0.030811869561269,0.861101732632525,0.747787214550037,0.245973861723299,0.115964320186074,0.379647436366835,0.633992446891793,0.798094850805484,0.12645474915154,0.897836456211222,0.453012101983649,0.472382472630262,0.684252073658397,0.13922468676364,0.744559076199593,0.522537641828308
"7",60,0.212574478703838,0.552208987791178,0.145239222465183,0.201644640265261,0.55626576260758,0.0163601604583693,0.215721370848767,0.431472420704609,0.0181435672232511,0.287920816391971,0.225913818734795,0.0975754181439483,0.486272799203727,0.307026529782525,0.0708863587361083,0.338635915481947,0.8269283349538,0.762751189735421,0.153788152065877,0.117910243690216,0.485314941056582,0.657392543441754,0.855087020714242,0.350055709367885,0.867961166183206,0.52920066899086,0.532325289770948,0.716369952040465,0.202554305328864,0.760764127616232,0.554427416931262
"8",70,0.268167167328056,0.481468957788331,0.359736301691682,0.195223893477166,0.580597503506514,0.107325361551059,0.214538398570444,0.442148664032699,0.0298540549838235,0.224984186039298,0.731163328523733,0.423182713807104,0.615335817551492,0.14197756404434,0.46711310033202,0.069159948507451,0.854971002158179,0.88977962700842,0.460765280595636,0.171895560125602,0.563757149943754,0.790340658395422,0.837308157096554,0.610656635732344,0.919496122526856,0.667564097678263,0.599417264835368,0.739586137023084,0.333357261270441,0.851429055382777,0.578814079980856
"9",80,0.42002012464146,0.648633856302692,0.378335323552223,0.365399243942025,0.766791870141857,0.0265491361646964,0.293901985349065,0.56817061741015,0.0437652909616104,0.530089018537501,0.415397393508648,0.342679246867765,0.620841601878937,0.571284072794534,0.739335354463185,0.55535128201135,0.856966890973753,0.850341867665124,0.377880867412816,0.409647302967524,0.589557586567586,0.855400100810552,0.851485926388555,0.680834439840224,0.910965257524071,0.696516596931821,0.638505690313101,0.766656484629181,0.591479889187223,0.875784343908083,0.596226830923974
"10",90,0.669883959901622,0.535306854225224,0.552294894035424,0.505550127517804,0.725476174352013,0.244751685382258,0.408618723722727,0.641481163016414,0.147720725584164,0.669647938697987,0.764259409301601,0.648297149424848,0.76958590420933,0.373733438765112,0.983339391243566,0.327905015150754,0.881245760251909,0.885540848146205,0.637151074664787,0.371555938961824,0.615501023511452,0.863968027217935,0.871624229399779,0.772689857946545,0.939767169188396,0.713356254797879,0.655528167256898,0.769081740577177,0.680395560452454,0.89069701444343,0.621759906442784
"11",100,0.585090536408404,0.686468849607213,0.722295463398138,0.511892658200035,0.788230815505347,0.150737484347343,0.459626998755986,0.718334347965844,0.109760383883971,0.710501379777377,0.607327063273626,0.548430248331386,0.724881315631931,0.712884293337612,0.876837472246403,0.629657428303535,0.882611023681983,0.877336788572774,0.717715335076963,0.602292167255667,0.658842242523617,0.873713069829331,0.838194772848773,0.769788283282929,0.951862232019353,0.713451904805336,0.653198050690654,0.770528873728125,0.712775629725457,0.898866455202741,0.636690271431359
"12",200,0.876831186515342,0.7389064604862,0.770741136124737,0.953948028431139,0.832581035905213,0.540521579942634,0.591451221599365,0.744420914055201,0.55198820968809,0.903111203012936,0.834826096815411,0.740960871190836,0.786001822566571,0.796406082415493,0.985191466825081,0.698773240514311,0.896374300954731,0.925261121551229,0.791341963192507,0.528513879953097,0.70520143607286,0.890553060419335,0.872307782151282,0.802266724517277,0.970210635587125,0.768571998954752,0.66381983079634,0.796192895503569,0.731083668858884,0.920482197002061,0.650451501363295
"13",300,0.976552117272526,0.886005163951672,0.956721439288791,0.991265509027182,0.820816178778829,0.795460406324833,0.750370404449547,0.891277786364238,0.892378513696406,0.961076448425763,0.687604024753826,0.811918833717153,0.855210948203359,0.865537826218253,0.953619919467216,0.902709286609993,0.905938119954998,0.9302793142518,0.973072895409088,0.978103834373924,0.95836611637189,0.935562695596727,0.883333588517627,0.930951252918437,0.99534745137785,0.837009761796333,0.812723278310658,0.838923601853552,0.915745132173718,0.948140564932487,0.673052133166074
"14",400,0.984981997016219,0.961508742495532,0.989884964312429,0.940291471173079,0.901146849326084,0.912782009836576,0.93484014198129,0.953931265614429,0.978585679862692,0.980357145179577,0.950553578205935,0.880396113869692,0.877075051263536,0.981705457829745,0.985691043323753,0.948279235474672,0.932556816922521,0.95058948496236,0.970491984429752,1,0.979732765598415,0.974786085510496,0.962676941760635,0.964881427302702,0.992214275415649,0.879619708406942,0.904779693649288,0.939830949430443,0.972101060291922,0.977671143104969,0.790424978577047
"15",500,0.987774420016731,1,0.976263555225745,0.987553516639042,1,0.953279795502635,0.953914846899706,0.995027112379672,0.975078327006766,0.961518876178852,0.993243385954678,0.958282608171573,0.906612064831117,1,1,0.981050761209951,0.936602349846524,0.976473605079967,1,0.997820300066872,1,0.979101523669997,0.926294552827,0.989112571932164,0.985825700860337,0.886035045919637,0.971315975809977,0.984867225180064,0.986325422768419,0.998805898211605,0.973424629166725
"16",600,1,0.997463101776913,1,1,0.984931001053532,1,1,1,1,1,1,1,1,0.980336771876798,0.989153720873088,1,1,1,0.973567565527216,0.999038246553833,0.981479580120782,1,1,1,1,1,1,1,1,1,1
