"","X","x0","dx","maxslope","range.10.90","Snake","Muscle","Species","Genotype","MAMU","Long","Lat","SVLmm","MusMassg","BodMassg","Sex","DtExp","DtColl","DInBet"
"11","CRF2676_M1",2.29434650056355e-30,294.748825913419,-8.36146604986004e-05,4.1929366534598e+251,"CRF2676","M1","couchii","T",21.3,-120.658378,39.442691,NA,56.2,"20.6","","14-Dec-15","30-May-15","198"
"12","CRF2678_M1",0.00511323705192977,-12896.8283578089,1.93846092607049e-06,Inf,"CRF2678","M1","couchii","T",36.5,-120.658378,39.442691,NA,62.8,NA,"","14-Oct-15","30-May-15","137"
"13","CRF2679_M1",3.11858332733692e-28,307.493558515913,-8.03833631279151e-05,8.2676535087318e+265,"CRF2679","M1","couchii","T",35.7,-120.658378,39.442691,NA,16,"11.4","","4-Nov-15","30-May-15","158"
"14","CRF2680_M1",0.0174856140600073,-193144.887822931,1.29436508908099e-07,Inf,"CRF2680","M1","couchii","T",40.8,-120.658378,39.442691,NA,84,"7.9","","26-Oct-15","30-May-15","149"
"15","CRF2681_M1",5.08888587735024e-28,317.886035715835,-7.78244987847457e-05,1.11427182366357e+276,"CRF2681","M1","couchii","WT",20.6,-120.658378,39.442691,NA,46.3,"18.2","","28-Oct-15","30-May-15","151"
"16","CRF3051_M1",3.79307489763724e-26,-79.9801362745324,0.00027139224762015,7.93299831841387e+50,"CRF3051","M1","couchii","T",3.3,-120.77225,40.39627,NA,70.1,"32.3","","9-Oct-16","16-Jul-16","85"
"17","CRF3052_M1",1.97744137360631e+22,108.329541297258,-0.000219348138041656,4.66398291093788e+125,"CRF3052","M1","couchii","T",3.3,-120.77225,40.39627,NA,40.7,"9.9","","18-Oct-16","16-Jul-16","94"
"18","CRF3055_M1",49963618.4650102,11473100.8901697,-2.17900986309717e-09,Inf,"CRF3055","M1","couchii","T",3.35,-120.77225,40.39627,NA,9.3,"5.1","","4-Oct-16","16-Jul-16","80"
"19","CRF3056_M1",1.54891736590537e-29,297.837304077782,-8.28336926668842e-05,2.50636719037414e+255,"CRF3056","M1","couchii","T",5,-120.77225,40.39627,NA,25.2,"19.8","","19-Oct-16","16-Jul-16","95"
"20","CRF3058_M1",0.00567610330744914,-31374.5814767576,7.96823366834012e-07,Inf,"CRF3058","M1","couchii","T",2.41,-120.80296,40.36777,"470",70.9,"41","","25-Feb-17","17-Jul-16","223"
"21","CRF3059_M1",3.8019216985795e-20,-230.033759905579,0.000107552421297955,1.22460344345925e+200,"CRF3059","M1","couchii","T",0.1,-120.80296,40.36777,"540",99.9,"71","","27-Apr-17","17-Jul-16","284"
"22","CRF3060_M1",2.34829230215232e-20,-104.974443937115,0.000226366796380195,3.48200158132459e+80,"CRF3060","M1","couchii","T",3.14,-120.80296,40.36777,NA,67.4,"24.3","","28-Oct-16","17-Jul-16","103"
"23","CRF3061_M1",3.51866170467154e+21,203.795657826892,-0.000121033917111462,1.03957888989368e+216,"CRF3061","M1","couchii","T",3.76,-120.80296,40.36777,"720",220.9,"133","","23-Mar-17","17-Jul-16","249"
"24","CRF3064_M1",2.43910875938964e+22,41.1432958634723,-0.000433088902354385,4.4454226424177e+61,"CRF3064","M1","couchii","T",69,-119.90284,38.04029,NA,103.5,"48.8","F","16-Nov-16","23-Jul-16","116"
"25","CRF3065_M1",1.48676490515031e+22,76.3584383520085,-0.000296181877977636,1.08820353152896e+95,"CRF3065","M1","couchii","T",85.3,-119.90284,38.04029,NA,99,"59.4","","9-Nov-16","23-Jul-16","109"
"26","CRF3066_M1",7.9592042640417e-24,-77.8813934073659,0.000283476112622942,1.65426824883081e+51,"CRF3066","M1","couchii","T",122.8,-119.90284,38.04029,NA,54.7,"62.7","","27-Nov-16","23-Jul-16","127"
"27","CRF3069_M3",37.2303600122398,-0.620528632394071,0.01583210129224,136.0338932834,"CRF3069","M3","couchii","T",37.8,-119.902411,38.04301,"500",100.5,"48","","28-Feb-17","23-Jul-16","220"
"28","CRF3070_M1",5.71278066171639e-30,1159.76470358142,-2.15366790412689e-05,Inf,"CRF3070","M1","couchii","T",58.8,-119.902411,38.04301,"490",56.6,"42","","13-Apr-17","23-Jul-16","264"
"29","CRF3074_M1",2.48107615218316e+22,62.449293717239,-0.000343978750235428,9.691942832781e+81,"CRF3074","M1","couchii","T",21.9,-119.902411,38.04301,NA,33.1,"25.8","","29-Nov-16","23-Jul-16","129"
"30","EJE182_M1",4.96034338470258e+21,42.6613048599572,-0.000435455993392182,2.53946567798365e+62,"EJE182","M1","couchii","T",47.5,-119.919969,37.817948,"770",238.9,"190","","16-Apr-17","10-Sep-16","218"
"31","EJE186_M1",4.43849385886547e+21,171.815748482998,-0.000142754729629815,3.99141253542989e+185,"EJE186","M1","couchii","T",137.6,-119.918561,37.821434,"370",62.8,"30","","25-Feb-17","10-Sep-16","168"
